id,state,abbr,perc_debt_med,perc_debt_med_nw,perc_debt_med_wh,med_debt_med,med_debt_med_nw,med_debt_med_wh,perc_pop_no_ins,perc_pop_no_ins_nw,perc_pop_no_ins_wh,perc_pop_nw,avg_income,avg_income_nw,avg_income_wh,
USA,USA,,14.57,17.18,13.2,797,854,758,12.47,18.26,8.63,39.78,87864,73435,94972,
1,Alabama,AL,19.31,27.45,17.32,1000,1113,936,15.46,20.41,12.83,34.69,69091,49055,78702,
2,Alaska,AK,14.63,9.14,12.62,1313,573,1343,16.43,22.41,12.84,39.89,96080,77081,104992,
4,Arizona,AZ,16.06,21.82,12.73,942,979,897,14.59,20.92,9.07,45.7,80477,66743,87985,
5,Arkansas,AR,20.01,23.15,19.37,662,725,656,12.03,18.5,9.55,27.86,66766,49546,72151,
6,California,CA,8.75,9.66,7.38,750,776,677,10.29,12.89,5.76,63.36,107384,92375,124240,
8,Colorado,CO,12.66,21.51,10.53,748,635,771,10.18,17,7.12,32.24,96218,76117,103075,
9,Connecticut,CT,11.18,16.96,8.75,560,585,515,7.6,13.93,4.3,33.73,111303,77959,124434,
10,Delaware,DE,18.13,30.39,15.14,799,949,747,8.08,11.08,6.19,38.16,84896,71994,91356,
11,District of Columbia,DC,7.28,9.73,2.51,607,658,685,4.03,5.97,1.29,63.08,124946,79036,191228,
12,Florida,FL,17.95,19.94,16.14,1065,1101,1036,19.14,23.42,15,46.74,79968,66488,88508,
13,Georgia,GA,18.59,21.34,17.07,952,919,1000,18.94,23.35,14.89,47.77,82489,66241,94765,
15,Hawaii,HI,6.94,6.87,5.83,455,459,n/a*,5.86,6.21,4.57,78.29,103162,100374,109934,
16,Idaho,ID,12.58,25.76,12.21,1013,n/a*,1039,16.51,29.87,13.59,18.23,73369,60588,75372,
17,Illinois,IL,14.54,20.42,12.73,644,633,653,9.92,15.91,6.1,39.09,91424,72297,100632,
18,Indiana,IN,19.15,31.04,17.77,813,713,838,10.97,18.24,9.08,21.3,73733,56730,77392,
19,Iowa,IA,10.62,14.29,10.26,605,n/a*,605,6.87,16.47,5.28,14.59,77173,59679,79183,
20,Kansas,KS,18.08,30.88,15.95,824,831,818,12.63,22.93,9.4,24.38,78972,61595,83132,
21,Kentucky,KY,18.6,35.56,17.88,501,570,498,7.86,14.84,6.64,15.49,69724,55325,71937,
22,Louisiana,LA,23.13,28.07,20.95,853,841,881,11.86,15.53,9.34,41.61,69225,47972,82207,
23,Maine,ME,18.02,n/a**,18.01,919,n/a**,924,11.53,17.51,11.1,6.98,73935,72288,74017,
24,Maryland,MD,12.2,15.11,10.53,530,568,490,8.35,12.74,3.94,49.77,109774,92507,123396,
25,Massachusetts,MA,4.93,7.57,4.47,402,426,397,3.93,6.12,3,29.26,110501,89501,117093,
26,Michigan,MI,14.53,22.17,13.33,492,485,497,7.64,10.27,6.77,25.21,77682,60767,82444,
27,Minnesota,MN,2.4,4.41,2.27,425,473,409,5.92,12.72,4.24,20.6,93047,73390,96451,
28,Mississippi,MS,19.19,22.43,17.37,866,982,817,18.65,22.63,15.55,43.6,61944,44399,73896,
29,Missouri,MO,19.29,35.85,17.33,877,1144,839,13.43,19.02,12.02,20.72,75013,58778,78712,
30,Montana,MT,13.02,27.1,12.42,815,1027,809,11.58,19.89,10.32,14.13,72648,55557,74586,
31,Nebraska,NE,7.69,14.3,6.72,745,593,740,11.79,24.13,8.56,21.46,78793,62023,82013,
32,Nevada,NV,18.68,23.28,15.35,909,841,1055,15.07,20.29,9.44,51.57,81039,68217,90510,
33,New Hampshire,NH,8.03,n/a**,8.01,537,n/a**,530,8.38,14.43,7.7,10.22,97994,88792,98728,
34,New Jersey,NJ,13.06,19.33,9.81,531,553,500,10.5,16.23,5.54,45.39,114853,94944,127938,
35,New Mexico,NM,18.02,20.33,12.35,741,726,750,13.99,17.89,7.04,63.11,66752,53554,82553,
36,New York,NY,6.48,5.74,7.06,484,450,496,7.66,11.34,4.59,44.76,100422,80260,113246,
37,North Carolina,NC,20.77,25.89,18.57,708,680,726,15.65,22.26,11.79,37.34,76693,58506,85476,
38,North Dakota,ND,6.12,9.55,6,562,n/a*,550,9.45,22.23,6.96,16.2,82435,61756,85463,
39,Ohio,OH,16.95,22.52,16.07,678,696,669,8.8,13.29,7.63,21.45,76151,55171,81166,
40,Oklahoma,OK,22.66,34.93,20.76,1176,1287,1148,20.48,29.89,15.71,34.81,71632,58678,76778,
41,Oregon,OR,6.17,n/a*,5.88,625,n/a*,642,10.25,17.55,7.83,24.89,85235,76777,87162,
42,Pennsylvania,PA,11.51,16.22,10.83,583,585,582,7.53,11.99,6.14,24.08,83765,63698,88674,
44,Rhode Island,RI,6.1,8.24,5.5,584,595,568,5.73,9.72,4.13,28.59,86601,62664,93533,
45,South Carolina,SC,24.92,30.96,22.2,957,883,997,15.85,21.18,12.81,36.47,72742,51576,82861,
46,South Dakota,SD,4.17,8.57,3.95,726,n/a*,726,14.18,35.66,9.58,18.53,74046,50788,77365,
47,Tennessee,TN,20.49,30.1,19.74,996,1143,986,14.71,22.06,12.12,26.37,73456,56953,78481,
48,Texas,TX,22.67,25.26,20.09,1068,1122,1025,24.03,31.06,14.19,58.6,85780,68463,103785,
49,Utah,UT,13.66,25.05,12.89,1012,979,1024,12.16,25.33,8.45,22.18,91096,72205,95098,
50,Vermont,VT,5.42,n/a*,5.39,581,n/a*,574,5.84,8.41,5.65,7.4,79514,63619,80495,
51,Virginia,VA,16.48,24.22,14.66,790,921,743,12.28,17.65,8.87,38.67,100884,85925,108286,
53,Washington,WA,5.35,6.43,4.94,604,655,577,9.35,15.58,6.44,32.17,99762,92813,102119,
54,West Virginia,WV,27,n/a*,26.97,669,n/a*,662,9.6,13.91,9.26,7.98,61707,57060,62030,
55,Wisconsin,WI,11.03,23.3,9.88,904,888,905,7.57,16.41,5.62,19.02,79656,59800,83030,
56,Wyoming,WY,18.28,54.9,17.99,1563,n/a*,1535,14.82,23.91,13.17,16.04,81935,72035,83387,
