id,state,abbr,perc_stud_debt,perc_stud_debt_nw,perc_stud_debt_wh,med_stud_debt_collect,med_stud_debt_collect_nw,med_stud_debt_collect_wh,perc_stud_debt_collect_STUD,perc_stud_debt_collect_STUD_nw,perc_stud_debt_collect_STUD_wh,med_stud_debt,med_stud_debt_nw,med_stud_debt_wh,med_mon_pmt,med_mon_pmt_nw,med_mon_pmt_wh,perc_no_bach,perc_no_bach_nw,perc_no_bach_wh,perc_pop_nw,avg_income,avg_income_nw,avg_income_wh
fips,state_name,state,"Share with Student Loan Debt, All","Share with Student Loan Debt, Communities of Color","Share with Student Loan Debt, Majority White Communities","Median Student Loan Debt, All","Median Student Loan Debt, Communties of Color","Median Student Loan Debt, Majority White Communities","Share of Student Loan Holders with Student Debt in Collections, All","Share of Student Loan Holders with Student Debt in Collections, Communities of C","Share of Student Loan Holders with Student Debt in Collections, Majority White C","Median Student Loan Debt in Collections, All","Median Student Loan Debt in Collections, Communities of Color","Median Student Loan Debt in Collections, Majority White Communities","Median Amount of Monthly Student Debt Payment, All","Median Amount of Monthly Student Debt Payment, Communities of Color","Median Amount of Monthly Student Debt Payment, Majority White Communities","Share without a Bachelor's degree, All","Share without a Bachelor's degree, Communities of Color","Share without a Bachelor's degree, Majority White Communities",Percent People of Color,Average household income,"Average household income, non-white and/or Hispanic","Average household income, white non-Hispanic"
USA,USA,,15.83,15.53,15.88,19825,18659,19926,10.23,13.86,8.61,11646,11012,11972,160,143,164,67.4,74.19,63.66,39.78,87864,73435,94972
1,Alabama,AL,15.15,18.84,13.93,19874,21375,18987,12.16,19,10,10814,10205,11066,150,150,149,74.47,80.45,71.75,34.69,69091,49055,78702
2,Alaska,AK,13.28,9.54,12.75,18278,17090,18348,11.8,15.28,10.42,11644,NULL,13780,160,NULL,159,69.83,81.92,63.52,39.89,96080,77081,104992
4,Arizona,AZ,14.94,13.89,14.52,18269,14297,19904,12.14,16.8,9.84,11354,9822,12163,147,113,159,70.28,80.38,63.92,45.7,80477,66743,87985
5,Arkansas,AR,15.61,20.82,15,18226,20394,17696,12.61,19.65,11.35,11467,11052,11405,138,134,138,76.69,83.49,74.61,27.86,66766,49546,72151
6,California,CA,11.99,11.96,11.19,17973,16176,20853,9.7,11.32,7.34,11467,10861,12963,150,133,174,65.8,73.08,55.59,63.36,107384,92375,124240
8,Colorado,CO,17.7,16.02,17.87,20555,20359,20700,9.16,13.27,7.86,13726,12779,13447,163,150,168,58.32,75.04,52.04,32.24,96218,76117,103075
9,Connecticut,CT,18.03,17.47,17.91,20169,18364,20733,7.87,14.35,5.83,13587,11198,16045,170,141,181,60.41,71.8,55.67,33.73,111303,77959,124434
10,Delaware,DE,15.78,18.86,14.41,21178,22164,21237,9.17,14.71,7.22,12799,12002,14417,168,161,174,68.66,74.66,65.7,38.16,84896,71994,91356
11,District of Columbia,DC,21.42,23.67,12.84,28399,25840,38920,11.02,13.81,4.53,14335,14335,NULL,236,210,306,39.59,61.3,7.41,63.08,124946,79036,191228
12,Florida,FL,13.61,14.44,12.25,20198,19365,20170,11.27,12.87,9.87,11985,11593,12614,152,139,159,69.63,74.49,66.08,46.74,79968,66488,88508
13,Georgia,GA,18.48,22.93,15.35,22748,25194,20717,11.74,14.84,9.33,11821,11512,12532,170,176,166,68.13,73.27,64.15,47.77,82489,66241,94765
15,Hawaii,HI,11.4,11.57,6.67,18824,18865,NULL,9.44,9.09,37.5,13607,13900,NULL,160,159,NULL,66.49,70.26,54.68,78.29,103162,100374,109934
16,Idaho,ID,15.5,12.12,15.55,18378,NULL,18536,8.93,12.5,8.77,12808,NULL,12960,145,NULL,146,72.35,83.84,70.39,18.23,73369,60588,75372
17,Illinois,IL,16.33,17.41,15.65,20458,19992,19985,9.43,15.93,7.32,11777,11150,12052,166,146,168,64.94,73.01,60.63,39.09,91424,72297,100632
18,Indiana,IN,17.42,20.55,16.98,19159,20953,18926,11.82,19.31,10.66,11426,12705,11507,156,152,156,72.89,76.84,72.05,21.3,73733,56730,77392
19,Iowa,IA,18.86,16.77,18.95,17738,NULL,17642,9.11,18.52,8.8,13263,NULL,13272,149,NULL,149,70.99,76.44,70.33,14.59,77173,59679,79183
20,Kansas,KS,16.82,11.59,17.24,18402,13830,18561,11.5,25.08,10.27,9957,6963,10633,151,141,155,66.2,77.37,63.43,24.38,78972,61595,83132
21,Kentucky,KY,16.19,18.96,16,18939,19425,18781,12.43,17.6,12.15,11149,NULL,10903,147,137,147,75.2,77.99,74.79,15.49,69724,55325,71937
22,Louisiana,LA,16.84,20.65,15.32,18055,20553,16594,12.82,16.13,10.88,11646,11873,11472,141,137,140,75.73,82.73,71.46,41.61,69225,47972,82207
23,Maine,ME,18.09,NULL,18.17,18927,NULL,18886,7.8,n/a**,7.74,13770,NULL,13888,160,NULL,160,68.47,70.7,68.34,6.98,73935,72288,74017
24,Maryland,MD,17.13,20.36,14.37,23725,25443,21136,9.81,12.04,7.56,12308,12477,12134,183,179,176,59.19,65.54,53.72,49.77,109774,92507,123396
25,Massachusetts,MA,18.3,19.65,18.25,20431,17452,20839,6.63,12.28,5.46,12670,11582,13106,180,147,187,55.47,64.08,52.56,29.26,110501,89501,117093
26,Michigan,MI,17.51,21,16.92,20377,19818,20270,11.82,24.6,9.6,10464,9915,10640,159,143,160,70.42,74.35,69.32,25.21,77682,60767,82444
27,Minnesota,MN,19.52,22.62,19.28,19554,19051,19398,6.93,16.64,6.33,12420,11299,12370,166,153,166,63.3,71.45,61.73,20.6,93047,73390,96451
28,Mississippi,MS,18.38,22.77,16.08,18906,19206,17678,14.11,18.3,11.43,10436,8887,11052,140,129,139,76.8,82.77,72.87,43.6,61944,44399,73896
29,Missouri,MO,17.19,20.33,16.49,20163,21238,19599,11.04,18.51,9.98,13336,12961,13336,156,143,156,70.45,74.46,69.59,20.72,75013,58778,78712
30,Montana,MT,15.05,12.04,15.19,17380,7464,17801,10.18,25,9.7,10540,NULL,11556,151,NULL,153,68.28,77.41,67.13,14.13,72648,55557,74586
31,Nebraska,NE,17.4,13.6,17.72,17996,12615,17998,6.41,14.8,5.96,11296,NULL,11299,156,115,158,67.57,78.31,65.38,21.46,78793,62023,82013
32,Nevada,NV,12.8,12.1,12.02,16290,12925,18386,14.14,19.99,10.31,10338,8990,11445,132,100,153,75.11,80.96,70.21,51.57,81039,68217,90510
33,New Hampshire,NH,19.1,NULL,19.14,20990,NULL,21080,7.28,n/a**,7.26,11194,NULL,11187,182,NULL,183,63.16,64.61,63.04,10.22,97994,88792,98728
34,New Jersey,NJ,16.91,16.34,16.96,21179,18667,22212,8.24,12.69,5.93,12290,11448,13391,179,147,194,59.2,65.02,55.01,45.39,114853,94944,127938
35,New Mexico,NM,12.97,12.7,12.27,18175,15968,21105,13.45,15.37,10.7,10081,9103,NULL,146,128,177,72.35,83.1,57.96,63.11,66752,53554,82553
36,New York,NY,16.14,15.42,17.17,20830,19896,21030,8.83,12.48,6.91,11486,11596,11111,171,155,177,62.76,71.64,56.36,44.76,100422,80260,113246
37,North Carolina,NC,15.91,21.11,14.38,21510,24187,20430,10.28,13.55,8.42,13269,11599,13496,163,172,161,68.08,75.85,64.27,37.34,76693,58506,85476
38,North Dakota,ND,17.04,10.51,17.32,16824,NULL,16866,7.9,3.03,8.03,13767,NULL,13767,142,NULL,142,70.32,77.05,69.3,16.2,82435,61756,85463
39,Ohio,OH,18.53,21.44,18.04,20919,20969,20661,10.83,19.29,9.38,12309,11358,12717,164,147,165,71.03,76.02,69.91,21.45,76151,55171,81166
40,Oklahoma,OK,15.05,13.71,15.11,17286,16331,17654,14.25,27.59,12.41,10066,9893,10213,140,111,143,74.38,80.24,71.98,34.81,71632,58678,76778
41,Oregon,OR,16.01,NULL,16.06,21033,NULL,21078,10.35,n/a*,9.9,13254,NULL,12746,163,NULL,165,66.04,73.46,64.19,24.89,85235,76777,87162
42,Pennsylvania,PA,19.88,23.94,19.25,21772,19745,22056,9.82,20.03,8.07,11339,9913,12077,174,144,179,68.18,73.99,66.7,24.08,83765,63698,88674
44,Rhode Island,RI,18.24,19.49,18.14,18993,16001,19563,8.96,13.66,7.94,11630,10641,11736,161,131,167,65.62,76.8,62.18,28.59,86601,62664,93533
45,South Carolina,SC,17.19,19.92,16.6,21523,24493,20794,12.22,17.06,10.25,12784,9866,14295,160,167,160,71.67,82.19,66.62,36.47,72742,51576,82861
46,South Dakota,SD,18.79,10.99,19.26,18249,14241,18390,6.38,12,6.33,13353,NULL,12961,156,NULL,157,70.76,82.73,68.83,18.53,74046,50788,77365
47,Tennessee,TN,15.37,21.89,13.81,19683,20345,18516,12.01,18.65,10.91,12097,10909,11965,156,150,152,72.52,76.86,71.24,26.37,73456,56953,78481
48,Texas,TX,14.97,14.94,14.31,18036,16513,19398,10.96,12.82,8.97,10827,10670,10928,146,129,162,69.69,77.54,60.71,58.6,85780,68463,103785
49,Utah,UT,13.19,10.47,13.51,16096,12210,16302,8.75,17.76,8.41,8961,NULL,9839,143,140,142,65.15,77.07,62.32,22.18,91096,72205,95098
50,Vermont,VT,16.9,NULL,16.84,22004,NULL,21913,6.2,n/a*,6.19,17237,NULL,16898,186,NULL,184,61.29,50.47,61.98,7.4,79514,63619,80495
51,Virginia,VA,16.59,19.21,15.17,21866,22403,21813,8.76,12.95,7.01,11678,12653,12224,174,167,174,60.66,67.53,56.92,38.67,100884,85925,108286
53,Washington,WA,13.58,12.48,13.96,18684,16766,18854,8.46,10.82,7.84,11753,10456,12029,157,150,158,63.32,66.88,61.98,32.17,99762,92813,102119
54,West Virginia,WV,15.17,NULL,15.28,18396,NULL,18436,12.8,n/a*,12.78,11591,NULL,11591,144,NULL,145,78.68,77.64,78.75,7.98,61707,57060,62030
55,Wisconsin,WI,16.94,20.83,16.64,17573,19277,17352,8.14,18.27,6.97,11783,10317,12310,152,144,153,69.99,78.68,68.47,19.02,79656,59800,83030
56,Wyoming,WY,12.92,11.76,13.06,15256,NULL,14968,8.14,0,8.42,5746,NULL,5746,153,NULL,149,73.14,82.82,71.59,16.04,81935,72035,83387
