id,state,abbr,pct_debt_collections,pct_debt_collections_nw,pct_debt_collections_wh,median_debt_in_collections,median_debt_in_collections_nw,median_debt_in_collections_wh,pct_w_medical_debt_in_collections,pct_w_medical_debt_in_collections_nw,pct_w_medical_debt_in_collections_wh,pct_student_holders_in_default,pct_student_holders_in_default_nw,pct_student_holders_in_default_wh,auto_retail_loan_delinquency_rate,auto_retail_loan_delinquency_rate_nw,auto_retail_loan_delinquency_rate_wh,credit_card_debt_delinquency_rate,credit_card_debt_delinquency_rate_nw,credit_card_debt_delinquency_rate_wh,median_credit_card_delinquent_debt,median_credit_card_delinquent_debt_nw,median_credit_card_delinquent_debt_wh,pct_poc,avg_household_income,avg_household_income_nw,avg_household_income_wh
,USA,,.2876269,.3883469,.2420738,1835,1887,1776,.1456881,.1717761,.1320481,.1022991,.1386068,.0860682,.03576,.0568293,.0273664,.031331,.0467351,.0257764,589,570,596,.3977581,87864,73435,94972
01,Alabama,AL,.3691685,.5537059,.3217813,1931,1983,1912,.1931399,.274528,.1732075,.1215847,.1900296,.1000264,.0600355,.1069519,.0495543,.0384887,.0669014,.0338654,469,447,478,.3469204,69091,49055,78702
02,Alaska,AK,.2659615,.3165563,.2179771,2120,1273,2326,.1463462,.0913907,.1262458,.1180304,.1527778,.1041968,.0208571,.005618,.0188375,.0247798,.0430464,.0177296,575,n/a*,704,.3988593,96080,77081,104992
04,Arizona,AZ,.3029064,.4480186,.228988,2042,1975,2044,.1605858,.2181645,.1272627,.1213513,.1679594,.0983717,.0363853,.0615797,.0238879,.0325591,.0542747,.0246905,624,502,683,.4569936,80477,66743,87985
05,Arkansas,AR,.3725123,.5642046,.3451979,1656,1870,1634,.2000561,.2315341,.1937327,.126105,.1964529,.1135115,.0475315,.088488,.0424576,.0454874,.0919719,.0419501,485,396,492,.2786021,66766,49546,72151
06,California,CA,.2319979,.2753701,.165214,1882,1906,1695,.0875485,.0966025,.0737884,.0970441,.113215,.0733995,.0277495,.0352921,.0150831,.027788,.0344088,.0197053,734,692,791,.6335551,107384,92375,124240
08,Colorado,CO,.2321061,.3871073,.1935272,1645,1396,1689,.1266085,.215096,.1053386,.09165,.1327434,.0785635,.0246247,.0455946,.0196281,.0255889,.041622,.0221288,600,556,604,.3224251,96218,76117,103075
09,Connecticut,CT,.245309,.4307355,.1811293,1516,1439,1540,.1118364,.169557,.0874601,.0786755,.1435407,.0583074,.0239724,.0588906,.0160186,.0290975,.0622757,.021662,601,492,709,.3372914,111303,77959,124434
10,Delaware,DE,.3092618,.4963156,.2549169,1847,1867,1650,.1812786,.3038578,.1514226,.0916569,.1471264,.0722333,.0332644,.0587544,.0266861,.0311586,.0380531,.028065,600,n/a*,642,.3815933,84896,71994,91356
11,District of Columbia,DC,.25748,.3627181,.0742729,1592,1627,1281,.072756,.097337,.0250559,.1101952,.1380915,.0452962,.0600162,.0817439,.0112045,.0342246,.0500345,.013089,418,405,n/a*,.630765,124946,79036,191228
