id,state,abbr,perc_stud_debt,perc_stud_debt_nw,perc_stud_debt_wh,med_stud_debt,med_stud_debt_nw,med_stud_debt_wh,perc_stud_debt_collect_STUD,perc_stud_debt_collect_STUD_nw,perc_stud_debt_collect_STUD_wh,med_stud_debt_collect,med_stud_debt_collect_nw,med_stud_debt_collect_wh,med_mon_pmt,med_mon_pmt_nw,med_mon_pmt_wh,perc_no_bach,perc_no_bach_nw,perc_no_bach_wh,perc_pop_nw,avg_income,avg_income_nw,avg_income_wh
,USA,,.1583212,.1552945,.1587909,19825,18659,19926,.1022991,.1386068,.0860682,11646,11012,11972,160,143,164,.6739969,.7418751,.6366488,.3977581,87864,73435,94972
01,Alabama,AL,.1514803,.1884125,.1392856,19874,21375,18987,.1215847,.1900296,.1000264,10814,10205,11066,150,150,149,.7447053,.8044684,.7174718,.3469204,69091,49055,78702
02,Alaska,AK,.1327885,.0953642,.1275378,18278,17090,18348,.1180304,.1527778,.1041968,11644,NULL,13780,160,NULL,159,.6983062,.8191904,.6351945,.3988593,96080,77081,104992
04,Arizona,AZ,.1493991,.1389488,.145217,18269,14297,19904,.1213513,.1679594,.0983717,11354,9822,12163,147,113,159,.7028093,.8038029,.6392481,.4569936,80477,66743,87985
05,Arkansas,AR,.1561119,.2082386,.1500096,18226,20394,17696,.126105,.1964529,.1135115,11467,11052,11405,138,134,138,.7669193,.8349116,.7460594,.2786021,66766,49546,72151
06,California,CA,.119939,.119639,.1119072,17973,16176,20853,.0970441,.113215,.0733995,11467,10861,12963,150,133,174,.6579953,.7308088,.5558563,.6335551,107384,92375,124240
08,Colorado,CO,.1770046,.1602312,.1787097,20555,20359,20700,.09165,.1327434,.0785635,13726,12779,13447,163,150,168,.5832232,.7503626,.5203735,.3224251,96218,76117,103075
09,Connecticut,CT,.1803133,.1746761,.1790765,20169,18364,20733,.0786755,.1435407,.0583074,13587,11198,16045,170,141,181,.6040621,.7180123,.5567008,.3372914,111303,77959,124434
10,Delaware,DE,.1578459,.1885566,.144071,21178,22164,21237,.0916569,.1471264,.0722333,12799,12002,14417,168,161,174,.6866382,.7466317,.6570315,.3815933,84896,71994,91356
11,District of Columbia,DC,.2141795,.2367309,.1284116,28399,25840,38920,.1101952,.1380915,.0452962,14335,14335,NULL,236,210,306,.3958727,.6129614,.0741461,.630765,124946,79036,191228
12,Florida,FL,.1360638,.1444115,.1224914,20198,19365,20170,.1127103,.1287293,.0986531,11985,11593,12614,152,139,159,.6963017,.744852,.6607919,.4673887,79968,66488,88508
13,Georgia,GA,.1848061,.2293028,.1534799,22748,25194,20717,.1173789,.1483858,.0933416,11821,11512,12532,170,176,166,.6812872,.7327036,.6414984,.4777492,82489,66241,94765
15,Hawaii,HI,.1139796,.1157131,.0666667,18824,18865,NULL,.094407,.0908672,.375,13607,13900,NULL,160,159,NULL,.6649491,.70259,.5467868,.7829096,103162,100374,109934
16,Idaho,ID,.1550478,.1212121,.1555315,18378,NULL,18536,.0893306,.125,.0876857,12808,NULL,12960,145,NULL,146,.7234861,.8384389,.7039254,.1822731,73369,60588,75372
17,Illinois,IL,.1632987,.174078,.1564644,20458,19992,19985,.094284,.159282,.0731924,11777,11150,12052,166,146,168,.6493738,.7301013,.6063017,.390889,91424,72297,100632
18,Indiana,IN,.1742421,.205511,.1697973,19159,20953,18926,.1181763,.1931483,.1065601,11426,12705,11507,156,152,156,.7289402,.7684189,.7204883,.2130333,73733,56730,77392
19,Iowa,IA,.1886306,.1677019,.1894655,17738,NULL,17642,.0910822,.1851852,.0880253,13263,NULL,13272,149,NULL,149,.7099286,.7643687,.7032754,.1459255,77173,59679,79183
20,Kansas,KS,.1681855,.1158537,.1724462,18402,13830,18561,.115019,.250774,.1027079,9957,6963,10633,151,141,155,.6619576,.7737377,.6342588,.24378,78972,61595,83132
