"id","state","abbr","stdtot","stdtot_com_col","stdtot_white","stdtotpos_p50","stdtotpos_p50_com_col","stdtotpos_p50_white","stdcollofstdtot","stdcollofstdtot_com_col","stdcollofstdtot_white","stdcollpos_p50","stdcollpos_p50_com_col","stdcollpos_p50_white","stdmonthpos_p50","stdmonthpos_p50_com_col","stdmonthpos_p50_white","educ_ltBA","educ_ltBA_com_col","educ_ltBA_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"USA","USA",NA,0.1524185,0.1496051,0.1523544,20108,18865,20362,0.0786193,0.1062001,0.0654599,10939.5,10349.5,11408,160,143,164,0.6498433,0.7133621,0.6112642,0.4192301,97961.57,84891.7,105178.4
"01","Alabama","AL",0.1468277,0.1831813,0.1351494,20397.5,22872,19526,0.0919947,0.1372505,0.0777577,10212,10211.5,10335,154,158,153,0.7256711,0.7868456,0.6963423,0.3584671,75922.77,57844.2,85041.99
"02","Alaska","AK",0.1347763,0.1288908,0.131374,18563,15664,20534,0.0817844,0.1496599,0.0739609,10579,NA,11740,156,133,160,0.6720937,0.7797847,0.6100006,0.4210992,100518.6,86380.38,107464.9
"04","Arizona","AZ",0.1457636,0.1431656,0.1375331,18146.5,14024,20088,0.0925597,0.1235049,0.0752748,10287,9092,11037.5,143,109,159,0.6757059,0.7711173,0.608858,0.4799188,93177.19,78715.77,102244.9
"05","Arkansas","AR",0.1488862,0.163738,0.145992,18307,17872,18259,0.0997912,0.1449477,0.0895962,9651.5,8096,10343,139,135,140,0.7472552,0.8083761,0.7242892,0.3177768,73125.69,59729.54,78277.63
"06","California","CA",0.1134928,0.1139796,0.1035456,18500,16624,21282,0.0767939,0.0891535,0.057658,10525,9887,12403.5,151,136,175,0.6381321,0.7073747,0.5291311,0.6574287,120952.8,107349.5,138392.9
"08","Colorado","CO",0.170791,0.1536851,0.1716732,20771,19072.5,21270,0.0680575,0.1032258,0.057366,12537,10931,12757,162,133,168,0.5558459,0.7041925,0.4922988,0.348207,110650.5,89610.46,118784.2
"09","Connecticut","CT",0.174029,0.1733604,0.1727553,21457,19530,22046,0.0625534,0.1095623,0.0452813,11463,8558,13596.5,174,148,186,0.5787243,0.6859583,0.5268504,0.3725367,120008.8,91375.7,133255.2
"10","Delaware","DE",0.1517552,0.1832472,0.1379329,21427.5,22081,21219,0.0783916,0.119859,0.0617867,13564,12694.5,14659,167,154.5,175,0.6438046,0.6833722,0.6220684,0.4067954,95632.74,80522.64,103335
"11","District of Columbia","DC",0.2031518,0.2171141,0.1491833,29134,23473,37223,0.0761659,0.1097372,0.0352798,10764,10066,NA,223,188.5,252,0.3695313,0.5649602,0.0699923,0.635754,138855.7,94120.61,204751.8
