"id","state","abbr","totcoll","totcoll_com_col","totcoll_white","totcollpos_p50","totcollpos_p50_com_col","totcollpos_p50_white","medcoll","medcoll_com_col","medcoll_white","stdcollofstdtot","stdcollofstdtot_com_col","stdcollofstdtot_white","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","carddelrate","carddelrate_com_col","carddelrate_white","carddelpos_p50","carddelpos_p50_com_col","carddelpos_p50_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"USA","USA",NA,0.2619007,0.3482975,0.2194351,1739,1823,1664,0.1260895,0.1459005,0.1143968,0.0786193,0.1062001,0.0654599,0.0398646,0.0624777,0.0297524,0.0342596,0.0509029,0.0275044,422,383,448,0.4192301,97961.57,84891.7,105178.4
"01","Alabama","AL",0.3372881,0.49392,0.2913447,1798,1903,1740,0.1640561,0.229521,0.1474348,0.0919947,0.1372505,0.0777577,0.07315,0.1261261,0.0578477,0.0468719,0.084547,0.037886,378,352,405,0.3584671,75922.77,57844.2,85041.99
"02","Alaska","AK",0.1672429,0.2213941,0.1447041,1867.5,1523,2010,0.0387795,0.043402,0.0364571,0.0817844,0.1496599,0.0739609,0.0199134,0.0288462,0.0174672,0.0244222,0.0372825,0.021201,517.5,NA,623,0.4210992,100518.6,86380.38,107464.9
"04","Arizona","AZ",0.2666938,0.3872097,0.1984197,1903,1897,1901,0.1240148,0.1635088,0.1001965,0.0925597,0.1235049,0.0752748,0.0399334,0.0663024,0.0254418,0.0341388,0.0563739,0.0246771,441,378,466,0.4799188,93177.19,78715.77,102244.9
"05","Arkansas","AR",0.3465793,0.506618,0.3178949,1553,1665,1520,0.1778295,0.2194204,0.1707378,0.0997912,0.1449477,0.0895962,0.0529792,0.107095,0.0454091,0.0512664,0.0921409,0.046687,407,305.5,430,0.3177768,73125.69,59729.54,78277.63
"06","California","CA",0.2087713,0.2441691,0.1468469,1824,1856,1629,0.0775829,0.0849257,0.0645025,0.0767939,0.0891535,0.057658,0.0292391,0.0360313,0.0167915,0.0271783,0.0335021,0.0180094,453,430,534,0.6574287,120952.8,107349.5,138392.9
"08","Colorado","CO",0.213803,0.3593147,0.1743308,1682,1448,1728.5,0.1096287,0.183651,0.0900145,0.0680575,0.1032258,0.057366,0.0257206,0.043255,0.0205882,0.0270089,0.0529707,0.0219518,472,383,490,0.348207,110650.5,89610.46,118784.2
"09","Connecticut","CT",0.2194708,0.3769755,0.1595991,1427,1362.5,1449,0.0952031,0.1368711,0.0766718,0.0625534,0.1095623,0.0452813,0.0245304,0.0567618,0.0147355,0.0323906,0.0679308,0.0218147,435,391,458,0.3725367,120008.8,91375.7,133255.2
"10","Delaware","DE",0.2866829,0.4683463,0.2201173,1692,1844,1513,0.1626036,0.2807924,0.1228965,0.0783916,0.119859,0.0617867,0.0435626,0.0761905,0.0305168,0.0394618,0.0732303,0.0280403,365,332,419.5,0.4067954,95632.74,80522.64,103335
"11","District of Columbia","DC",0.2232908,0.3496644,0.0774955,1672,1735,1308,0.0606075,0.0872483,0.0263158,0.0761659,0.1097372,0.0352798,0.0800588,0.1116732,0.0201794,0.0447871,0.0840877,0.0148615,329,306.5,350,0.635754,138855.7,94120.61,204751.8
