"id","state","abbr","totcoll","totcoll_com_col","totcoll_white","totcollpos_p50","totcollpos_p50_com_col","totcollpos_p50_white","medcoll","medcoll_com_col","medcoll_white","stdcollofstdtot","stdcollofstdtot_com_col","stdcollofstdtot_white","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","carddelrate","carddelrate_com_col","carddelrate_white","carddelpos_p50","carddelpos_p50_com_col","carddelpos_p50_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"12","Florida","FL",0.2893825,0.3400718,0.2450757,2137,2249,2015,0.1436702,0.1511893,0.1299093,0.0873604,0.0969636,0.0787386,0.035784,0.0459104,0.0277124,0.0394238,0.0510287,0.0306693,456,436,476,0.4885558,89572.91,77770.77,98014.18
"13","Georgia","GA",0.3427562,0.4305591,0.2861723,1854,1971,1720,0.1733211,0.1950514,0.1597904,0.0923327,0.1154078,0.071848,0.0587338,0.0819409,0.0428441,0.0512461,0.0758989,0.0372796,390,353.5,452,0.4977367,92425.16,76505.3,105718.3
"15","Hawaii","HI",0.1622844,0.1636047,0.1363636,1866,1898,NA,0.0499284,0.050549,0.0454545,0.066956,0.0662062,NA,0.0283107,0.0291463,NA,0.023549,0.0237754,0.0253165,472,490,NA,0.792206,111751.2,110418.5,115079.5
"16","Idaho","ID",0.1969396,0.3588517,0.1924805,1965,1561,2008,0.1114999,0.1913876,0.1086107,0.0641133,NA,0.0633149,0.0268981,0.0454545,0.0261178,0.0241814,0.0454545,0.0237748,388.5,NA,399,0.2132896,89955.23,76829.18,92589.18
"17","Illinois","IL",0.2566317,0.4111596,0.2063169,1484.5,1508,1492,0.1358075,0.1979039,0.1142316,0.0688788,0.1126454,0.054045,0.0490987,0.0829632,0.0406925,0.0320778,0.065657,0.024013,397,334,437,0.4106559,99873.84,81673.82,109586.8
"18","Indiana","IN",0.2763083,0.4703929,0.2523006,1721,1821.5,1709.5,0.1599449,0.2523156,0.1488228,0.0887588,0.1578236,0.0790018,0.039899,0.0977585,0.0338214,0.0355856,0.0803854,0.0316222,394.5,311,420,0.2337397,82642.7,70470.2,85597.1
"19","Iowa","IA",0.2009249,0.4786477,0.1938742,1500,1012,1532,0.0887486,0.2064057,0.0851249,0.0673517,0.1176471,0.0654442,0.0233525,0.0552147,0.0225467,0.0264716,0.0805687,0.025776,425,NA,429,0.170246,86498.74,71712.95,88643.7
"20","Kansas","KS",0.2575279,0.4419496,0.2249117,1652,1300,1674,0.1676568,0.2887915,0.1474378,0.081604,0.1486928,0.0719071,0.0293275,0.0512346,0.0255038,0.0294304,0.0559796,0.0260996,444.5,382.5,466,0.2663518,86579.72,73924.11,89976.58
"21","Kentucky","KY",0.3231586,0.6718101,0.3094309,1282,1200.5,1285,0.1711074,0.3816024,0.1641463,0.102649,0.2061538,0.0972507,0.0441521,0.1196172,0.0423121,0.0422013,0.1193738,0.039972,435,265,446,0.1734411,76234.4,62350.71,78694.55
"22","Louisiana","LA",0.3686514,0.5002552,0.3102728,1729,1749,1714,0.1806395,0.222368,0.1636293,0.0977187,0.1228782,0.0822284,0.0673576,0.1031276,0.0511914,0.046474,0.069176,0.0380842,355,261.5,400,0.4310904,75589.84,54807.97,89466.09
"23","Maine","ME",0.2435383,NA,0.2435273,1597.5,NA,1600,0.1545627,NA,0.1546877,0.0660705,NA,0.0659532,0.017435,NA,0.0173941,0.0250097,NA,0.0250275,384.5,NA,385.5,0.0996125,87755.97,86476.59,87863.45
"24","Maryland","MD",0.2445309,0.3314707,0.1848203,1562,1672,1339,0.1037421,0.1320848,0.0883323,0.07563,0.0968446,0.054457,0.0421903,0.0642594,0.0246972,0.0357629,0.054056,0.0247059,410,391,460,0.5216159,119957.5,103014.9,135016.4
"25","Massachusetts","MA",0.1671984,0.3111083,0.1384925,1580,1550,1611,0.0403454,0.0619961,0.0359367,0.0502665,0.0913728,0.0415744,0.0210739,0.0474412,0.0160556,0.0284362,0.0592891,0.0230848,417,398,440.5,0.3252112,124788.6,103289.1,132685.3
"26","Michigan","MI",0.2557694,0.5203191,0.2183744,1374,1693,1280,0.1262691,0.1848498,0.1164058,0.0870862,0.1771235,0.0714303,0.0394129,0.1446443,0.0276585,0.0338094,0.1046176,0.0269624,374,289,402,0.2714228,86093.3,71462.66,90594.08
"27","Minnesota","MN",0.1296098,0.2836179,0.1187421,1623,1435,1649,0.0241599,0.0377358,0.0231133,0.0498429,0.1145833,0.0455943,0.0187972,0.0434584,0.0171592,0.0217544,0.057135,0.0197786,452.5,341,469,0.2313883,103304.9,88235.68,106434.4
"28","Mississippi","MS",0.3501322,0.461905,0.2895157,1598,1646,1555,0.160184,0.1943803,0.1412744,0.1075269,0.1427896,0.0807395,0.0797127,0.1147033,0.060762,0.061866,0.0891043,0.0499265,363,304,403,0.4456473,68047.63,50044.38,80923.63
"29","Missouri","MO",0.2897928,0.5754821,0.2574491,1775,1982,1731,0.1636721,0.3161901,0.1460433,0.084156,0.1646201,0.075031,0.0463256,0.1222924,0.0381234,0.035542,0.0947795,0.0304527,417,330,441,0.2344033,84920.05,66616.25,89665.22
"30","Montana","MT",0.1975989,0.5182648,0.1872352,1589,1487,1595,0.1104992,0.2659817,0.1050017,0.0673909,0.1454545,0.0656355,0.02726,0.1512346,0.0236112,0.0233617,0.0571429,0.0226819,461.5,NA,462,0.1619358,87083.16,76102.78,88556.72
"31","Nebraska","NE",0.1755542,0.3611596,0.1555751,1972,1799,2030,0.0607809,0.0995459,0.0551492,0.047194,0.1153846,0.0438516,0.0242742,0.0417941,0.0224362,0.0267352,0.0589226,0.0245217,463,372,466.5,0.2357523,89208.63,75181.84,92236.59
"32","Nevada","NV",0.3184164,0.4107166,0.2319052,2054,1967,1983.5,0.1590844,0.1918258,0.1305299,0.0992612,0.1216362,0.0745856,0.0427999,0.0630453,0.0263802,0.0410767,0.0571109,0.0271602,448,408,526,0.5482633,89960.75,79272.04,98985.61
"33","New Hampshire","NH",0.1688059,NA,0.1688181,1672,NA,1673,0.0621062,NA,0.0620645,0.052037,NA,0.0520558,0.0183344,NA,0.0183408,0.0238737,NA,0.0238824,470.5,NA,470.5,0.1274896,111907.7,114974.5,111585.6
"34","New Jersey","NJ",0.2158979,0.3176163,0.1611185,1273,1222,1360,0.11027,0.1610911,0.0828202,0.0656731,0.0999315,0.0472122,0.0273566,0.0498061,0.0170682,0.0290658,0.0471232,0.0212194,430,375,473,0.4789325,124950.7,107094.9,137984.3
"35","New Mexico","NM",0.3178584,0.3609488,0.1851385,1651,1622,1613,0.1609344,0.177013,0.0993163,0.100197,0.1087396,0.0678261,0.0594307,0.0706222,0.02504,0.0334923,0.0386283,0.0165896,399.5,394,348,0.6508701,76989.21,65779.29,91761.87
"36","New York","NY",0.1977194,0.2592677,0.1640868,1755,1778.5,1771,0.0556699,0.0516834,0.0589009,0.0663036,0.0927658,0.0524908,0.0303063,0.0561745,0.0207302,0.034335,0.0534036,0.0251407,420,387,458,0.4654313,109731.8,90181.61,122988.3
"37","North Carolina","NC",0.3272508,0.4400446,0.2796572,1570,1650,1549,0.2029009,0.2546649,0.17864,0.0841914,0.1133736,0.0675164,0.0444938,0.0730607,0.0341196,0.0423519,0.0701592,0.0336369,409.5,350,447,0.3907093,86803.97,68225.48,96579.41
"38","North Dakota","ND",0.1632319,0.3894081,0.156519,1866,997,1928,0.0685091,0.1246106,0.0668629,0.0467178,0.0882353,0.0459433,0.0254415,0.0434783,0.0248177,0.0257327,0.0403226,0.0254929,474,NA,469.5,0.1772906,86665.54,77081.09,88100
"39","Ohio","OH",0.2839095,0.5071009,0.2516283,1369,1380,1364,0.1494514,0.208521,0.1412743,0.0816727,0.1432103,0.0715594,0.0396921,0.101966,0.03193,0.0370827,0.0890457,0.0315235,412,327,428,0.2344733,84572.28,65648.37,89566.23
"40","Oklahoma","OK",0.3535444,0.5305589,0.3176311,1897,1807,1915.5,0.2145801,0.3243273,0.1941775,0.1119119,0.1838983,0.0985091,0.0504511,0.093561,0.0446085,0.0421264,0.066029,0.0370703,458,431.5,466,0.3716085,75430.3,63277.49,80946.38
"41","Oregon","OR",0.1625354,0.275,0.1562632,1563,1638.5,1581,0.0478134,0.08125,0.0448193,0.0773282,NA,0.0754976,0.0187824,0.0337838,0.0174532,0.0231089,0.0214286,0.0222815,463,NA,467,0.2795359,95662.49,89760.23,97340.71
"42","Pennsylvania","PA",0.2335777,0.4585145,0.1992691,1657,1666,1651,0.0935524,0.1310041,0.0877829,0.0743803,0.1485396,0.0616724,0.0298641,0.082062,0.0235582,0.0351666,0.0946837,0.0283813,387,294.5,428,0.2644664,93835.26,77586.2,98475.45
"44","Rhode Island","RI",0.2086796,0.3296488,0.1675515,1574.5,1350,1690,0.0510619,0.0659654,0.0393254,0.0650661,0.0968956,0.0559796,0.0298762,0.0660848,0.0223061,0.0343499,0.0665649,0.026507,394,350,441,0.3112932,99143.57,71487.3,108182.1
"45","South Carolina","SC",0.3738679,0.5292326,0.3178471,2026,2100,2034,0.2225539,0.2829753,0.1962637,0.0981479,0.1337563,0.0823674,0.0664303,0.111959,0.0509713,0.0449034,0.0831466,0.0357396,402,321,440,0.3740334,81580.15,60441.18,92318.22
"46","South Dakota","SD",0.1486655,0.4272541,0.1365642,2323,2223,2358.5,0.0316888,0.079918,0.0296508,0.0486574,0.1122449,0.0464487,0.0225825,0.1226994,0.0189476,0.0232815,0.034965,0.0230071,419,NA,400,0.1999719,86194.05,78779.73,87355.38
"47","Tennessee","TN",0.3160926,0.4684787,0.2887151,1892,2020,1868,0.17627,0.1954515,0.1736481,0.0927059,0.1408708,0.0806173,0.0521782,0.1088741,0.0426557,0.0382775,0.0824306,0.0313922,394,321,428,0.2788872,83777.2,67814.88,89045.18
"48","Texas","TX",0.3705835,0.4476677,0.288885,1997,1999.5,1942,0.1881915,0.2087318,0.1693974,0.0878658,0.1017874,0.0705755,0.0597041,0.0793714,0.0382712,0.0400988,0.0518567,0.0298353,438,403,477,0.6062299,93667.53,77423.3,112867
"49","Utah","UT",0.1919665,0.3655914,0.1790268,1942.5,1494,1991,0.1224023,0.2225339,0.1144467,0.0658927,0.1277533,0.0616886,0.0247257,0.0533516,0.0232214,0.0222804,0.0397554,0.0209126,454,NA,453.5,0.2398322,105075.5,85586.09,109906.8
"50","Vermont","VT",0.1629714,NA,0.1632018,1500.5,NA,1504,0.0471082,NA,0.0470876,0.0509232,NA,0.05106,0.0206785,NA,0.0207433,0.0221341,NA,0.0222094,389,NA,389,0.093728,94496.06,85213.23,95248.59
"51","Virginia","VA",0.2462926,0.3456842,0.215578,1647,1743.5,1593,0.1442176,0.1942285,0.1292093,0.0677446,0.0933795,0.0574288,0.0370432,0.0559313,0.0304972,0.031742,0.0495839,0.0269191,423,383,442,0.4076033,111287.3,97981.48,118695.2
"53","Washington","WA",0.1561735,0.2199699,0.1448677,1865,1784,1879,0.049685,0.0709731,0.0440262,0.0599981,0.0804498,0.0561754,0.0211796,0.0293504,0.0190175,0.0223748,0.0325581,0.0210278,439,431,445.5,0.35698,116349.2,115588.9,116655.2
"54","West Virginia","WV",0.37347,NA,0.3731784,1459,NA,1459.5,0.2396552,NA,0.2396459,0.1015098,NA,0.1013156,0.0390184,NA,0.039075,0.0459399,NA,0.045801,410,NA,409.5,0.0964419,72293.91,62584,73143.76
"55","Wisconsin","WI",0.198778,0.4941527,0.1728784,1642,1402,1707,0.1135481,0.2407974,0.1021897,0.0595749,0.1508357,0.049654,0.0278529,0.0903145,0.0231484,0.0205444,0.0728024,0.0174654,371,265,387,0.2102413,88304.15,73540.7,91104.74
"56","Wyoming","WY",0.2404901,0.6525424,0.237774,2679.5,2039,2699.5,0.1677527,0.4237288,0.1661046,0.0742779,NA,0.0746544,0.0317439,NA,0.0312757,0.0269525,NA,0.0269595,520,NA,520,0.1845136,86911.25,64957.79,90762.2
