"id","state","abbr","totcoll","totcoll_com_col","totcoll_white","totcollpos_p50","totcollpos_p50_com_col","totcollpos_p50_white","medcoll","medcoll_com_col","medcoll_white","stdcollofstdtot","stdcollofstdtot_com_col","stdcollofstdtot_white","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","carddelrate","carddelrate_com_col","carddelrate_white","carddelpos_p50","carddelpos_p50_com_col","carddelpos_p50_white"
"USA","USA",NA,0.1989764,0.2457578,0.1716002,1130,1264,1018,0.0970407,0.1031054,0.0919108,0.0267368,0.0422499,0.0203069,0.0617195,0.089663,0.0465909,0.0444689,0.0632897,0.0352028,275,271,275
"01","Alabama","AL",0.2723252,0.4113573,0.2260949,1234,1458,1146.5,0.1403188,0.2142198,0.1201559,0.0284171,0.0454545,0.0220264,0.0997999,0.1829085,0.0768078,0.0640492,0.1278649,0.0480516,253,219,268
"02","Alaska","AK",0.1218097,0.1445087,0.101227,1383,NA,960,0.0382831,0.0462428,0.0398773,0.0232558,NA,0.0103627,0.0339559,NA,0.028754,0.029106,0.0422535,0.028021,NA,NA,NA
"04","Arizona","AZ",0.2089737,0.2638394,0.1587721,1311,1437,1157,0.0885013,0.0982519,0.077719,0.0383752,0.0412044,0.0309099,0.0605064,0.0779088,0.0425109,0.0450957,0.0654174,0.0318287,345,293.5,359
"05","Arkansas","AR",0.2918752,0.3951165,0.2706956,1025,1214.5,977,0.1489159,0.1709212,0.1455776,0.0380304,0.0371901,0.0356589,0.0821168,0.1169811,0.0744986,0.0730906,0.0911765,0.0685755,239,NA,246.5
"06","California","CA",0.137475,0.1550607,0.1038479,1094,1160,853,0.0490869,0.0500905,0.0509636,0.0319154,0.0404989,0.0189197,0.0493845,0.0574354,0.0296999,0.032512,0.039188,0.0203532,299,288,363
"08","Colorado","CO",0.1796238,0.2658812,0.1515799,1043,1036,986,0.0945625,0.1398566,0.082342,0.0250384,0.042654,0.021636,0.0428351,0.0507937,0.0417537,0.0356274,0.0637681,0.0276183,251.5,252,269.5
"09","Connecticut","CT",0.1393467,0.2417134,0.0931013,908,952.5,783,0.0562381,0.0744518,0.0457875,0.0184078,0.0358891,0.0116048,0.0348182,0.0632603,0.0244898,0.0403587,0.0857143,0.0243962,327,313,299.5
"10","Delaware","DE",0.2185995,0.3492823,0.1585873,1056.5,1176,1059,0.1159689,0.1913876,0.0872576,0.0337458,0.0757576,0.028169,0.0662069,0.0480769,0.056,0.0469799,0.0673077,0.032967,336,NA,NA
"11","District of Columbia","DC",0.160826,0.2469304,0.0600522,1383,1551,NA,0.0469337,0.0627558,0.0261097,0.047619,0.0769231,0.0092593,0.1421569,0.175,NA,0.0634921,0.130303,0.0111111,247.5,NA,NA
"12","Florida","FL",0.2271132,0.2438072,0.2086051,1335.5,1450,1158.5,0.1150898,0.110309,0.1138443,0.0346417,0.0399083,0.0304441,0.0609675,0.0777137,0.0458422,0.0529879,0.0654513,0.0416789,274,274,298
"13","Georgia","GA",0.2593917,0.3251371,0.2119767,1298,1423,1139,0.1356823,0.1531152,0.1242121,0.0343161,0.0505602,0.0204862,0.0903914,0.1289308,0.0622318,0.0669343,0.1070485,0.0426611,278,268,309
"15","Hawaii","HI",0.1231095,0.119706,NA,1112,1226.5,NA,0.0387175,0.0381519,NA,0.0259434,0.0199734,NA,0.032666,0.0304507,NA,0.0231601,0.0232005,NA,NA,NA,NA
"16","Idaho","ID",0.1729749,NA,0.1712077,1197,NA,1222,0.0996526,NA,0.0983575,0.0165349,NA,0.0164918,0.0478395,NA,0.0480087,0.0325497,NA,0.0323071,282,NA,286
