"id","state","abbr","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","delinquency_by_credit","delinquency_by_credit_near","delinquency_by_credit_pr","autoopen","autoopen_com_col","autoopen_white","autoretopen","autoretopen_com_col","autoretopen_white","poprural","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"USA","USA",NA,0.0398646,0.0624777,0.0297524,0.2111451,0.0114531,0.0006261,0.3016727,0.2707267,0.3178242,0.3552157,0.3279283,0.3702506,0.20003137,0.4192301,97961.57,84891.7,105178.4
"01","Alabama","AL",0.07315,0.1261261,0.0578477,0.2846301,0.0166387,0.000925,0.2918371,0.2673979,0.3003121,0.3827976,0.3631172,0.3883782,0.4226276,0.3584671,75922.77,57844.2,85041.99
"02","Alaska","AK",0.0199134,0.0288462,0.0174672,0.1511905,0.0059041,0.0006336,0.2888922,0.1977203,0.2935036,0.3456085,0.2713722,0.3479483,0.35100513,0.4210992,100518.6,86380.38,107464.9
"04","Arizona","AZ",0.0399334,0.0663024,0.0254418,0.2036573,0.0084861,0.0004357,0.311443,0.3181395,0.3095071,0.3587896,0.3717056,0.3539848,0.1071484,0.4799188,93177.19,78715.77,102244.9
"05","Arkansas","AR",0.0529792,0.107095,0.0454091,0.229198,0.0145341,0.0007802,0.3313252,0.2833181,0.3387707,0.3893617,0.3321543,0.3979304,0.44523869,0.3177768,73125.69,59729.54,78277.63
"06","California","CA",0.0292391,0.0360313,0.0167915,0.1800744,0.0104171,0.0005078,0.2692067,0.2706341,0.2593564,0.3118869,0.3171476,0.2950402,0.05763367,0.6574287,120952.8,107349.5,138392.9
"08","Colorado","CO",0.0257206,0.043255,0.0205882,0.1761831,0.0105318,0.0002738,0.3059444,0.2978958,0.3031795,0.3546241,0.3501708,0.350186,0.13973293,0.348207,110650.5,89610.46,118784.2
"09","Connecticut","CT",0.0245304,0.0567618,0.0147355,0.1577613,0.0111895,0.0007235,0.3039977,0.2417476,0.3249006,0.3389731,0.2790102,0.3583112,0.13749271,0.3725367,120008.8,91375.7,133255.2
"10","Delaware","DE",0.0435626,0.0761905,0.0305168,0.2213043,0.0095283,0.0012541,0.3268407,0.2984496,0.3278146,0.3781551,0.3559431,0.3747693,0.17387883,0.4067954,95632.74,80522.64,103335
"11","District of Columbia","DC",0.0800588,0.1116732,0.0201794,0.3110339,0.022673,0.001444,0.1794896,0.2294183,0.1330308,0.2226243,0.2808725,0.1607985,0,0.635754,138855.7,94120.61,204751.8
"12","Florida","FL",0.035784,0.0459104,0.0277124,0.1770491,0.0110035,0.0007194,0.3155217,0.300694,0.3164174,0.360652,0.3440985,0.3622255,0.08465805,0.4885558,89572.91,77770.77,98014.18
"13","Georgia","GA",0.0587338,0.0819409,0.0428441,0.2207029,0.0147342,0.0006973,0.2926894,0.2770661,0.3059904,0.3618573,0.3461986,0.3752616,0.25933027,0.4977367,92425.16,76505.3,105718.3
"15","Hawaii","HI",0.0283107,0.0291463,NA,0.205766,0.0095541,0.0006227,0.2429834,0.2436649,0.2090909,0.3143876,0.3168092,0.2636364,0.13936992,0.792206,111751.2,110418.5,115079.5
"16","Idaho","ID",0.0268981,0.0454545,0.0261178,0.1939373,0.0068946,0.0002584,0.3189019,0.3157895,0.319083,0.3803008,0.4210526,0.3799175,0.30757825,0.2132896,89955.23,76829.18,92589.18
"17","Illinois","IL",0.0490987,0.0829632,0.0406925,0.2581544,0.0132249,0.0006054,0.2819438,0.2499668,0.3027478,0.331212,0.3081582,0.3506431,0.13072523,0.4106559,99873.84,81673.82,109586.8
"18","Indiana","IN",0.039899,0.0977585,0.0338214,0.2065157,0.0083241,0.0004962,0.3170772,0.2783136,0.3228879,0.3741873,0.3310763,0.3808985,0.28823726,0.2337397,82642.7,70470.2,85597.1
"19","Iowa","IA",0.0233525,0.0552147,0.0225467,0.1660944,0.0085375,0.0004307,0.3245035,0.2419929,0.326391,0.373481,0.2846975,0.3749284,0.36846459,0.170246,86498.74,71712.95,88643.7
"20","Kansas","KS",0.0293275,0.0512346,0.0255038,0.1883897,0.0072237,0.0003372,0.2905818,0.232019,0.2953362,0.3409489,0.2895217,0.3447101,0.27700961,0.2663518,86579.72,73924.11,89976.58
"21","Kentucky","KY",0.0441521,0.1196172,0.0423121,0.2099475,0.0108707,0.0006873,0.2783206,0.1756677,0.2819558,0.3518714,0.2385757,0.3569098,0.41301548,0.1734411,76234.4,62350.71,78694.55
"22","Louisiana","LA",0.0673576,0.1031276,0.0511914,0.2684543,0.0143119,0.0009978,0.3105114,0.2688466,0.3305217,0.3864492,0.3484981,0.4042561,0.28458333,0.4310904,75589.84,54807.97,89466.09
"23","Maine","ME",0.017435,NA,0.0173941,0.1338306,0.0065767,0.0001478,0.3736524,NA,0.3737287,0.4203392,NA,0.4205495,0.61367819,0.0996125,87755.97,86476.59,87863.45
"24","Maryland","MD",0.0421903,0.0642594,0.0246972,0.2107771,0.0121849,0.0005899,0.3085749,0.2937093,0.3289312,0.3558944,0.3460078,0.3741944,0.14382901,0.5216159,119957.5,103014.9,135016.4
"25","Massachusetts","MA",0.0210739,0.0474412,0.0160556,0.160055,0.0112039,0.000661,0.2941835,0.249154,0.3124036,0.332376,0.2987425,0.3494628,0.08720188,0.3252112,124788.6,103289.1,132685.3
"26","Michigan","MI",0.0394129,0.1446443,0.0276585,0.2362114,0.0105861,0.0006358,0.3320296,0.2704744,0.343079,0.3827921,0.3262497,0.3937533,0.26525605,0.2714228,86093.3,71462.66,90594.08
"27","Minnesota","MN",0.0187972,0.0434584,0.0171592,0.1754045,0.0086196,0.0003333,0.3089392,0.2671458,0.3132931,0.3597853,0.3235999,0.364306,0.28121295,0.2313883,103304.9,88235.68,106434.4
"28","Mississippi","MS",0.0797127,0.1147033,0.060762,0.2814055,0.0171746,0.0013566,0.3162141,0.2864862,0.3309062,0.414398,0.3873852,0.427355,0.53709529,0.4456473,68047.63,50044.38,80923.63
"29","Missouri","MO",0.0463256,0.1222924,0.0381234,0.2330816,0.0114924,0.0006745,0.3097159,0.2547846,0.3167249,0.3691619,0.3166334,0.3761775,0.30532519,0.2344033,84920.05,66616.25,89665.22
"30","Montana","MT",0.02726,0.1512346,0.0236112,0.2067371,0.0089145,0.0002284,0.2883993,0.3127854,0.2882746,0.3530029,0.3664384,0.3531043,0.46581475,0.1619358,87083.16,76102.78,88556.72
"31","Nebraska","NE",0.0242742,0.0417941,0.0224362,0.1782007,0.0099972,0.0005416,0.3308925,0.2720922,0.3377318,0.3830834,0.3384562,0.3884889,0.26994643,0.2357523,89208.63,75181.84,92236.59
"32","Nevada","NV",0.0427999,0.0630453,0.0263802,0.2008249,0.0093145,0.0003852,0.2884933,0.2567663,0.2986437,0.3396527,0.3112871,0.3471923,0.05907691,0.5482633,89960.75,79272.04,98985.61
"33","New Hampshire","NH",0.0183344,NA,0.0183408,0.1461837,0.0077849,0.0004034,0.3863059,NA,0.3864501,0.425795,NA,0.4259457,0.41676727,0.1274896,111907.7,114974.5,111585.6
"34","New Jersey","NJ",0.0273566,0.0498061,0.0170682,0.1772767,0.0130435,0.000592,0.2858014,0.2290834,0.3213666,0.3232135,0.2768682,0.3539097,0.06246263,0.4789325,124950.7,107094.9,137984.3
