id,state,abbr,perc_stud_debt,perc_stud_debt_wh,perc_stud_debt_nw,med_stud_debt,med_stud_debt_wh,med_stud_debt_nw,perc_stud_debt_collect,perc_stud_debt_collect_wh,perc_stud_debt_collect_nw,med_stud_debt_collect,med_stud_debt_collect_wh,med_stud_debt_collect_nw,med_mon_pmt,med_mon_pmt_wh,med_mon_pmt_nw,perc_pop_nw,perc_no_bach,perc_no_bach_wh,perc_no_bach_nw,avg_income,avg_income_wh,avg_income_nw,perc_stud_debt_collect_STUD,perc_stud_debt_collect_STUD_wh,perc_stud_debt_collect_STUD_nw
USA,USA,,0.1598145,0.1607863,0.1563392,16995,17300,15511,0.0214597,0.0181731,0.0287682,8060,8393,7585,169,174,151,0.385429621,0.693959713,0.657886326,0.763777316,78377.82031,85120.73438,63786.77734,.134279,.1130267,.1840115
1,Alabama,AL,0.1439932,0.1311073,0.1772661,17000,16526,16770,0.0232934,0.017481,0.0435676,7172.5,7942.5,6799,156,155,144,0.340586543,0.758435369,0.730155945,0.822740018,62307.3125,69916.65625,45542.30078,.1617673,.1333333,.245775
2,Alaska,AK,0.1397926,0.1417861,0.1076389,14231,14316,14250,0.0216293,0.0218261,0.0173611,7448.5,8969,n<50,165,160,168.5,0.387252986,0.703068852,0.634388328,0.844494402,92875.89063,99587.10156,76386.90625,.1547242,.1539366,.1612903
4,Arizona,AZ,0.1551244,0.1539241,0.1441118,15992,17625,12480,0.0262899,0.0212246,0.0348107,7076,8175,6066,158,174,130,0.443141937,0.722842932,0.660848916,0.828811169,70637.71875,78061.21094,56253.74219,.1694763,.1378901,.2415535
5,Arkansas,AR,0.1506433,0.1467501,0.1908615,15126,14989.5,15675,0.0253342,0.0226911,0.0437887,8527,8436,9233.5,151,152,146,0.269716263,0.781981647,0.764521897,0.841721296,59274.66797,63886.73828,43748.54688,.1681736,.1546243,.2294264
6,California,CA,0.1210964,0.1151122,0.1200319,15798,18218,14058,0.0156963,0.0104618,0.0186427,9526,11395,9003,169,190,151,0.621530414,0.677377582,0.579459906,0.752002895,91757.13281,107226.8047,77126.25781,.1296183,.0908832,.1553142
8,Colorado,CO,0.1850799,0.1866015,0.1604713,17667,18227,15613,0.0218853,0.0187192,0.0269679,8802,8987,8282,177,181,143,0.315093517,0.607616067,0.543878317,0.785766959,85914.67969,93160.89844,63343.85938,.118248,.1003163,.1680545
9,Connecticut,CT,0.1730269,0.1764073,0.1523729,18174,19052,15710,0.0165788,0.012452,0.0271861,9532,10238,8291,187,197.5,156,0.320558786,0.616908312,0.57131505,0.737053037,101346.8906,112654.7031,70003.42969,.0958165,.0705866,.1784182
10,Delaware,DE,0.1532152,0.1403737,0.218254,18667,19286,17535,0.0209129,0.0161854,0.0436508,8176,9381.5,n<50,180,187,199,0.369538486,0.690594792,0.672494173,0.729595542,81120.375,85517.11719,71327.90625,.1364937,.1153025,.2
11,District of Columbia,DC,0.2100146,0.1650888,0.2301385,24131,31821.5,21785.5,0.0258109,0.0076923,0.0356234,10154,n<50,9530,242,278,222,0.640218794,0.432535231,0.083768308,0.656015754,114600.4063,170418.25,76305.17969,.1229004,.046595,.1547911
12,Florida,FL,0.1395774,0.1257251,0.1515353,16637,16624,15934,0.0227303,0.0186119,0.0274299,8387,8844,8214,154,160,142,0.448949873,0.715696931,0.681171298,0.767040014,70462.35156,78052.02344,57349.00391,.1628512,.1480363,.1810132
13,Georgia,GA,0.1799486,0.1513941,0.2250885,18821,17515.5,20291,0.0278567,0.0180017,0.0458607,7118,7620,6712.5,170,173,168,0.463261247,0.700750649,0.664265633,0.751248956,71554.57031,82288.4375,56336.52734,.1548037,.1189062,.2037453
15,Hawaii,HI,0.1125718,0.056962,0.1135243,15589.5,n<50,15813,0.0139119,0.0126582,0.0139477,8667,n<50,9003,170,n<50,167.5,0.7721771,0.686388493,0.55185771,0.732509673,92496.16406,95309.91406,91219.97656,.1235828,.2222222,.1228609
16,Idaho,ID,0.1643637,0.1660548,0.0689655,15502,15541,n<50,0.0214906,0.0213622,0.0344828,7473,7455,n<50,147,147,n<50,0.173962653,0.740228295,0.722591281,0.852654099,63921.13672,65381.375,53200.57422,.1307501,.1286453,.5
17,Illinois,IL,0.1656721,0.1581878,0.1822984,17747.5,17610,16538,0.0197692,0.0146463,0.0357554,7748.5,7875,7574,181,185,152,0.381925821,0.670565605,0.629535079,0.751521587,82699.35938,91124.39063,64057.1875,.1193271,.0925881,.1961365
18,Indiana,IN,0.1774558,0.1731634,0.2172185,16715,16749.5,16636,0.0285151,0.0249275,0.0600442,7008,7329,5828.5,163,165,152,0.201036632,0.750635564,0.743113279,0.789253056,67064.73438,69830.63281,52874.25,.1606884,.1439533,.2764228
19,Iowa,IA,0.201383,0.2020282,0.1914894,15236,15380,n<50,0.0247471,0.0239213,0.0851064,7778,7809,n<50,162,163,n<50,0.132341683,0.731699228,0.724199295,0.801789284,70035.60938,72119.64844,49504.86328,.1228857,.1184056,.4444444
20,Kansas,KS,0.1729518,0.1768945,0.1202681,15750,15750,11599,0.0223012,0.0205745,0.0327287,7269,7033,8849,162,164,117,0.2362867,0.682780147,0.657206297,0.79271394,73069.39844,77329.88281,53910.88281,.1289444,.1163092,.2721311
