id,state,abbr,perc_debt_collect,med_debt_collect,perc_debt_med,med_debt_med,perc_debt_collect_nw,med_debt_collect_nw,perc_debt_med_nw,med_debt_med_nw,perc_debt_collect_wh,med_debt_collect_wh,perc_debt_med_wh,med_debt_med_wh,perc_pop_nw,perc_pop_no_ins,perc_pop_no_ins_wh,perc_pop_no_ins_nw,avg_income,avg_income_wh,avg_income_nw
USA,USA,,0.3270783,1450,.1795313,681,.447185,1423,.2123596,720,.2733445,1453,.1623733,653,0.385429621,0.094035387,0.062866032,0.143956184,78377.82031,85120.73438,63786.77734
1,Alabama,AL,.3975529,1424,.199747,665,.6146538,1215,.2548147,667,.3406386,1460,.1858415,658,0.340586543,0.101289272,0.080377758,0.142089188,62307.3125,69916.65625,45542.30078
2,Alaska,AK,.3196525,1568.5,.1687794,1277,.4259259,958.5,.1412037,652,.2604132,1816,.1547817,1253,0.387252986,0.148602843,0.102861464,0.220982492,92875.89063,99587.10156,76386.90625
4,Arizona,AZ,.3618921,1787,.2029563,864,.5305788,1593,.2643338,849,.2748396,1928.5,.1637968,853,0.443141937,0.108340204,0.061404407,0.167729497,70637.71875,78061.21094,56253.74219
5,Arkansas,AR,.3908889,1416.5,.2176564,700,.5835317,1337,.2534508,747,.3606988,1453,.210105,700,0.269716263,0.094910324,0.076178551,0.145913005,59274.66797,63886.73828,43748.54688
6,California,CA,.2942219,1400,.129542,795,.3499305,1360,.14521,800,.2122655,1468,.1071232,820.5,0.621530414,0.085829198,0.045359135,0.110427499,91757.13281,107226.8047,77126.25781
8,Colorado,CO,.2862416,1517,.171086,766,.4872449,1211,.257896,702,.2392028,1611,.1475591,776,0.315093517,0.080602765,0.053616285,0.139634013,85914.67969,93160.89844,63343.85938
9,Connecticut,CT,.2717159,1119,.1282607,429,.4917788,982,.1912369,418,.1961005,1243.5,.1038971,414,0.320558786,0.059503376,0.032858431,0.11617142,101346.8906,112654.7031,70003.42969
10,Delaware,DE,.3562707,1301.5,.2171436,537.5,.5965608,1401,.3624339,751,.2942352,1248,.1795384,521,0.369538486,0.058524311,0.044205546,0.083005488,81120.375,85517.11719,71327.90625
11,District of Columbia,DC,.331842,955,.1036737,454,.4493921,980,.1355669,466,.1230769,720.5,.0443787,408,0.640218794,0.037809432,0.018814743,0.048490167,114600.4063,170418.25,76305.17969
