id,state,abbr,perc_debt_collect,med_debt_collect,perc_debt_med,med_debt_med,perc_debt_collect_nw,med_debt_collect_nw,perc_debt_med_nw,med_debt_med_nw,perc_debt_collect_wh,med_debt_collect_wh,perc_debt_med_wh,med_debt_med_wh,perc_pop_nw,perc_pop_no_ins,perc_pop_no_ins_wh,perc_pop_no_ins_nw,avg_income,avg_income_wh,avg_income_nw
12,Florida,FL,.381184,1621,.2282682,782,.453961,1575,.2506553,793,.3291371,1659,.2081002,778,0.448949873,0.133342981,0.094721437,0.18091327,70462.35156,78052.02344,57349.00391
13,Georgia,GA,.4037228,1580,.2249649,810,.5333237,1699.5,.2752366,837,.3320856,1512,.1958891,808,0.463261247,0.13850683,0.101224065,0.182010591,71554.57031,82288.4375,56336.52734
15,Hawaii,HI,.2258243,1162,.107424,389,.2249066,1155,.1067497,393,.1772152,n<50,.0379747,n<50,0.7721771,0.039657116,0.039482236,0.039705634,92496.16406,95309.91406,91219.97656
16,Idaho,ID,.2669001,1662,.1590376,806.5,.5,n<50,.3793103,n<50,.261306,1658,.1546122,805,0.173962653,0.110488772,0.089080811,0.212992132,63921.13672,65381.375,53200.57422
17,Illinois,IL,.3077295,1272,.1760404,591,.4979458,1266.5,.2429628,552,.2455546,1315,.1540914,611,0.381925821,0.07100147,0.040645659,0.120336831,82699.35938,91124.39063,64057.1875
18,Indiana,IN,.3371824,1509,.221407,733,.5569537,1471.5,.333223,667,.3083669,1529,.2077961,751,0.201036632,0.096278429,0.082219303,0.152699232,67064.73438,69830.63281,52874.25
19,Iowa,IA,.2379291,1265,.1330515,512.5,.4893617,1433.5,.1595745,n<50,.2292223,1271,.1283912,514,0.132341683,0.050308228,0.037668645,0.13352108,70035.60938,72119.64844,49504.86328
20,Kansas,KS,.2981979,1343,.1915718,586,.5299684,1409.5,.3422713,714,.2678499,1331,.1726675,583,0.2362867,0.091401219,0.063940644,0.180905342,73069.39844,77329.88281,53910.88281
21,Kentucky,KY,.3972885,1315,.2743242,653.5,.731441,1375,.4934498,875.5,.3836372,1308,.2659742,632,0.148465157,0.060208499,0.052455246,0.105555236,62595.66406,63967.76563,53097.37891
22,Louisiana,LA,.4576903,1486,.3028888,726,.607395,1496,.3708421,699,.3949897,1495.5,.2756152,752,0.41016084,0.119461238,0.093278885,0.157707274,64894.90234,76506.44531,45222.85156
23,Maine,ME,.2911516,1512,.1931853,707,N/A,N/A,N/A,N/A,.2903502,1512,.1926816,708,0.064187348,0.084046125,0.080941975,0.1293872,67135.04688,67871.64063,52340.41016
24,Maryland,MD,.3190901,1105,.1709383,459.5,.4311966,1118,.2104761,470,.2513787,1104.5,.1479207,445,0.481381297,0.065870762,0.033115029,0.101205587,99957.02344,111934.8906,83826.98438
25,Massachusetts,MA,.2276774,1002,.0519261,349,.4639509,787.5,.0715175,347,.1834312,1141,.0461844,338,0.270195782,0.028173625,0.021695197,0.045688212,97586.25781,104518.1641,72658.03125
26,Michigan,MI,.3282639,1325,.1985444,536.5,.629108,1600,.322077,620,.2822206,1240,.1786715,515,0.245516598,0.060814798,0.0528602,0.085551977,69491.98438,73753.42969,53444.84375
27,Minnesota,MN,.1695249,1247,.0327247,342,.4257928,931,.0684989,402,.1531616,1307,.0312205,334.5,0.190898299,0.045123875,0.03026408,0.10842818,83488.24219,86703.67969,63238.6875
28,Mississippi,MS,.3994842,1440,.2086576,747,.5279928,1425,.2234395,788,.3374349,1418,.1968297,712,0.430195749,0.126926184,0.109121621,0.150730312,55494.76953,66264.49219,38985.57813
29,Missouri,MO,.3468954,1604.5,.2102615,707,.6526185,1655,.365586,814.5,.3096233,1589,.1904779,675,0.201342881,0.097682953,0.086929977,0.140960693,68065.36719,71410.40625,52205.58203
30,Montana,MT,.2497535,1599,.1659997,871,.5964567,1373,.3622047,786,.2351844,1600.5,.1569554,885,0.133989215,0.116475582,0.095970333,0.251053691,66109.6875,68112.5,46182.46094
31,Nebraska,NE,.2017895,1461.5,.088954,577.5,.4534884,1626,.2031008,750.5,.1763533,1467,.0758807,556,0.199436784,0.082394838,0.059856832,0.173536003,72307.78125,76177.23438,49422.14063
32,Nevada,NV,.4099201,1760,.2452215,845,.5265844,1576,.2971785,810,.3129125,1902,.2021008,948,0.494719386,0.122789621,0.072900832,0.173830807,70575.85938,77856.90625,59485.67188
33,New Hampshire,NH,.2198237,1303,.0899647,456,N/A,N/A,N/A,N/A,.2195888,1303,.0899432,455,0.090628505,0.063449144,0.058296382,0.115929961,89735.45313,90070.32813,84733.75
34,New Jersey,NJ,.2786098,1114,.1536073,483,.4378853,1049,.2338601,503,.1986704,1190,.1144723,469,0.439517796,0.087136686,0.044396341,0.141842067,101060.9688,113780.9609,80339.24219
35,New Mexico,NM,.4012442,1586,.2533832,775,.4735835,1585,.2907048,767.5,.2680412,1664,.1813994,813,0.617233932,0.109273911,0.066465676,0.13582629,62747.44531,74402.8125,52306.83594
36,New York,NY,.2488096,1325,.0763939,442,.3377468,1280,.0598524,401,.200812,1430,.0861355,456,0.44175756,0.07059294,0.041794181,0.107079327,89907.95313,102390.4063,69352.54688
37,North Carolina,NC,.3899521,1487,.269067,716,.5429414,1539,.3695095,725,.339523,1482,.2410288,744,0.363935709,0.11189431,0.080372512,0.167297781,67515.64063,75387.22656,50378.60156
38,North Dakota,ND,.190496,1469,.0934556,631,.5030675,1161,.1993865,510,.1781448,1530,.0878426,634.5,0.140864134,0.077579141,0.05851233,0.194708347,81460.00781,83019.88281,68714.61719
39,Ohio,OH,.3308072,1260,.1920591,462,.5902018,1341,.2516561,404,.2992176,1244,.1837036,470,0.203020275,0.065222323,0.058044136,0.093717396,68880.03906,73292.53125,49039.73438
40,Oklahoma,OK,.4008636,1449.5,.260387,676,.6211166,1284,.4052791,738,.3622614,1464,.2364447,651,0.335902214,0.139024377,0.098607659,0.219722211,66260.33594,71211.09375,52782.76563
41,Oregon,OR,.2583847,1435,.135859,783.5,.42,n<50,.15,n<50,.2478918,1464,.1316941,787,0.234889925,0.070221424,0.054148614,0.122813284,73144.23438,75008.35938,64057.42578
42,Pennsylvania,PA,.2975236,1452,.1522814,522,.5951668,1393,.208353,539.5,.2563785,1467,.1444448,516,0.22744453,0.063647926,0.052363873,0.102558255,75981.125,80387.82031,56353.98828
44,Rhode Island,RI,.2812099,1353,.0804041,486,.5170588,1190,.13,489,.2294825,1463,.0684788,450,0.26615119,0.057055414,0.037104666,0.111985385,78295.17969,84377.79688,55880.96875
45,South Carolina,SC,.4326245,1705,.2803085,733,.5739675,1709,.3598094,673.5,.3781569,1705,.2483666,759,0.362803519,0.108976305,0.088563263,0.14534843,64351.74219,73506.98438,45151.12891
46,South Dakota,SD,.1801557,1880,.0470034,489,.539112,1281,.1078224,610,.1634696,1972,.0427971,472.5,0.172152996,0.102114081,0.06561321,0.280443788,68722.69531,71700.39844,45157.12109
47,Tennessee,TN,.3863844,1443,.2419749,739,.5839058,1400,.2626461,745.5,.352264,1454,.2379998,748,0.257638633,0.102738023,0.082456172,0.161601365,66008.63281,70455.90625,50524.78516
48,Texas,TX,.4373323,1702,.2592642,850,.5284067,1658,.2855363,875,.3458208,1725,.2305065,821,0.570606351,0.170994759,0.092829764,0.229846656,78861.80469,95812.14063,61270.64844
49,Utah,UT,.2536612,1505,.1706017,881.5,.4732759,1485,.2982759,971.5,.234972,1537,.1592215,865,0.210873187,0.104793251,0.071265161,0.230625153,79860.27344,83437.3125,61747.28125
50,Vermont,VT,.2174761,1335.5,.0799517,531,N/A,N/A,N/A,N/A,.2174287,1327.5,.0797938,531,0.065795898,0.03818053,0.037851691,0.042869449,74502.00781,75123.22656,63034.48047
51,Virginia,VA,.2937239,1399,.1767238,582,.434608,1440,.2413239,633,.2542806,1397,.1619104,574,0.374987066,0.091429293,0.06527102,0.135321259,90555.77344,97123.86719,76512.25781
53,Washington,WA,.2264828,1426,.0856937,637,.3085916,1183,.0987196,743.5,.209708,1436,.0830355,613,0.303120196,0.066220403,0.045929193,0.11304003,85653.08594,88536.75,76064.70313
54,West Virginia,WV,.4160832,1443,.2903581,621,n<50,n<50,n<50,n<50,.4138555,1429,.2892994,618,0.077035308,0.059532762,0.058723927,0.06975311,56568.14844,56675.21484,54966.80469
55,Wisconsin,WI,.2429598,1581.5,.1623636,885.5,.5724147,1698,.3788663,962,.2093271,1550,.1406065,872,0.18187362,0.056609273,0.0426386,0.120188236,72099.00781,75272.57031,51836.66797
56,Wyoming,WY,.2749579,2011,.1961879,1121,.7142857,n<50,.6428571,n<50,.2694964,2019,.1916221,1106.5,0.159438491,0.115329444,0.096887708,0.213446319,76934.25781,79307.45313,59090.40625
