id,state,abbr,perc_debt_student,med_debt_student,perc_debt_collect,med_debt_collect,med_monthdebt_student,perc_debt_student_nw,med_debt_student_nw,perc_debt_collect_nw,med_debt_collect_nw,med_monthdebt_student_nw,perc_debt_student_wh,med_debt_student_wh,perc_debt_collect_wh,med_debt_collect_wh,med_monthdebt_student_wh,perc_pop_wh,perc_pop_ba,perc_pop_whba,perc_pop_nwba,avg_income,avg_income_wh,avg_income_nw
USA,,,.1598145,16995,.0214597,8060,169,.1562406,15514,.0287531,7586,151,.1607863,17300,.0181731,8393,174,0.614570379,0.306040317,0.342113674,0.236222669,78377.82031,85120.73438,63786.77734
01,Alabama,AL,.1439932,17000,.0232934,7172.5,156,.1771438,16795.5,.0434745,6799,144,.1311073,16526,.017481,7942.5,155,0.659413457,0.241564631,0.269844055,0.177259982,62307.3125,69916.65625,45542.30078
02,Alaska,AK,.1397926,14231,.0216293,7448.5,165,.10901,14500,.0177976,n<50,170.5,.1417861,14316,.0218261,8969,160,0.612747014,0.296931148,0.365611643,0.155505598,92875.89063,99587.10156,76386.90625
04,Arizona,AZ,.1551244,15992,.0262899,7076,158,.1440069,12480,.0347854,6066,130,.1539241,17625,.0212246,8175,174,0.556858063,0.277157098,0.339151084,0.171188831,70637.71875,78061.21094,56253.74219
05,Arkansas,AR,.1506433,15126,.0253342,8527,151,.1907817,15704,.0437158,9233.5,145,.1467501,14989.5,.0226911,8436,152,0.730283737,0.218018338,0.235478088,0.158278733,59274.66797,63886.73828,43748.54688
06,California,CA,.1210964,15798,.0156963,9526,169,.1200065,14060,.0186398,9006.5,151,.1151122,18218,.0104618,11395,190,0.378469557,0.322622389,0.420540094,0.24799712,91757.13281,107226.8047,77126.25781
08,Colorado,CO,.1850799,17667,.0218853,8802,177,.1593314,15613,.0266955,8282,143,.1866015,18227,.0187192,8987,181,0.684906483,0.392383903,0.456121653,0.214233071,85914.67969,93160.89844,63343.85938
09,Connecticut,CT,.1730269,18174,.0165788,9532,187,.1522246,15706.5,.027143,8291,156,.1764073,19052,.012452,10238,197.5,0.679441214,0.383091718,0.42868498,0.262946993,101346.8906,112654.7031,70003.42969
10,Delaware,DE,.1532152,18667,.0209129,8176,180,.2187088,17561,.0434783,n<50,199,.1403737,19286,.0161854,9381.5,187,0.630461514,0.309405237,0.327505797,0.270404428,81120.375,85517.11719,71327.90625
11,District of Columbia,DC,.2100146,24131,.0258109,10154,242,.2297812,21785.5,.0355681,9530,222,.1650888,31821.5,.0076923,n<50,278,0.359781206,0.567464769,0.916231692,0.343984216,114600.4063,170418.25,76305.17969
