id,state,county,perc_debt_collect,med_debt_collect,perc_debt_med,med_debt_med,perc_debt_collect_nw,med_debt_collect_nw,perc_debt_med_nw,med_debt_med_nw,perc_debt_collect_wh,med_debt_collect_wh,perc_debt_med_wh,med_debt_med_wh,perc_pop_wh,perc_pop_ins,perc_pop_ins_wh,perc_pop_ins_nw,avg_income,avg_income_wh,avg_income_nw,ACS5yrdataflag
01001,Alabama,Autauga,0.3407881,1413.5,0.1118211,413,n<50,n<50,n<50,n<50,0.0254335,1419,0.1086705,406.5,0.75782764,0.898796499,0.921773791,0.82591033,64764.58984,69779.69531,45980.71094,1
01003,Alabama,Baldwin,0.2886445,1947,0.1174197,604,n<50,n<50,n<50,n<50,0.0190126,1945.5,0.1192886,628,0.831038177,0.91872859,0.920153916,0.911739707,73407.60156,75744.71094,56868.92188,0
01005,Alabama,Barbour,0.4118993,1230.5,0.1281465,477.5,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,0.462423891,0.844887793,0.887022197,0.807884455,44687.95313,56666.57422,32237.81445,1
01007,Alabama,Bibb,0.4778481,1453,0.3006329,582,0.0555556,n<50,0.3148148,n<50,0.0114504,1403,0.2977099,636.5,0.745000899,0.903370261,0.907456458,0.888717175,52241.33984,55418.61719,38111.08594,1
01009,Alabama,Blount,0.3587444,1366.5,0.2242152,582.5,n<50,n<50,n<50,n<50,0.0190797,1361,0.2233445,600,0.878530562,0.883604288,0.902723968,0.743712723,54884.13672,56149.82031,40938.22266,1
01011,Alabama,Bullock,0.483871,1824,0.1225806,n<50,0.035461,1824,0.1276596,n<50,n<50,n<50,n<50,n<50,0.222138971,0.819135249,0.910836756,0.793813109,41946.97266,65792.57813,33421.26953,1
01013,Alabama,Butler,0.4398827,1591,0.1964809,856,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,0.533359528,0.877478838,0.897185743,0.855154097,43971.98438,54605.63281,31161.54883,1
01015,Alabama,Calhoun,0.4330875,1943.5,0.2476291,974.5,N/A,N/A,N/A,N/A,0.0191449,1964,0.232291,921,0.730265439,0.911449552,0.918887258,0.891771019,53327.14063,58369.79297,38181.41016,0
01017,Alabama,Chambers,0.4708738,1763,0.1941748,899,n<50,n<50,n<50,n<50,0.007326,1785,0.2380952,823,0.572845459,0.861441314,0.892929375,0.819452107,49455.98047,58167.05469,36861.46875,1
01019,Alabama,Cherokee,0.3994911,1312,0.2417303,812,N/A,N/A,N/A,N/A,0.002551,1312,0.2423469,812,0.917179346,0.901020586,0.906649709,0.836566448,50590.53125,51855.77344,34787.08203,1
01021,Alabama,Chilton,0.4657143,2198,0.3,805.5,N/A,N/A,N/A,N/A,0.0228571,2198,0.3,805.5,0.805335581,0.839904368,0.874928713,0.694395065,55545.51953,57760.86719,43807.95313,1
01023,Alabama,Choctaw,0.3816425,1897,0.1497585,n<50,n<50,n<50,n<50,n<50,0.0181818,n<50,0.1090909,n<50,0.558939874,0.865520895,0.87273711,0.856411994,47721.36328,58058.87109,34726.23438,1
01025,Alabama,Clarke,0.3967391,1962.5,0.111413,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,0.53354609,0.848421335,0.861090064,0.833980501,48153.00391,59964.95703,32419.00195,1
01027,Alabama,Clay,0.405303,1358,0.219697,797,N/A,N/A,N/A,N/A,0.016129,1365,0.2177419,797,0.799364686,0.856162846,0.854315877,0.863550723,44846.41016,47288.96875,33222.84766,1
01029,Alabama,Cleburne,0.371308,1342,0.2109705,576.5,N/A,N/A,N/A,N/A,0.0170213,1298,0.2085106,n<50,0.925010026,0.863262832,0.87596333,0.703296721,50244.28516,51207.33984,36645.55078,1
01031,Alabama,Coffee,0.3095526,1784.5,0.1451028,562,N/A,N/A,N/A,N/A,0.0188442,1784.5,0.1444724,606,0.715195358,0.884036064,0.909360409,0.822020173,62808.35547,66449.92969,51435.39844,1
01033,Alabama,Colbert,0.3764833,1667,0.2416397,699.5,N/A,N/A,N/A,N/A,0.0185185,1666,0.2418301,699.5,0.789012551,0.888749003,0.899978936,0.846344292,53233.21875,56042.42969,41736.07813,1
01035,Alabama,Conecuh,0.4310345,2141,0.137931,n<50,N/A,N/A,N/A,N/A,n<50,n<50,n<50,n<50,0.50967741,0.792011261,0.824609756,0.758115828,38050.62109,48302.73828,26171.17773,1
01037,Alabama,Coosa,0.4691358,n<50,0.2839506,n<50,N/A,N/A,N/A,N/A,0,n<50,0.3518519,n<50,0.652035892,0.84455812,0.852820575,0.82866466,41365.21484,48280.46094,27860.51758,1
01039,Alabama,Covington,0.4428571,1680,0.268254,947,n<50,n<50,n<50,n<50,0.0112,1602,0.2688,944.5,0.8334741,0.867353499,0.868796825,0.860006511,50924.71094,53833.03125,34124.75,1
01041,Alabama,Crenshaw,0.3629344,1056.5,0.0965251,n<50,N/A,N/A,N/A,N/A,0.0120968,1056,0.0967742,n<50,0.704907477,0.877424955,0.891634762,0.843841672,50203.08203,56743.20703,34433.01563,1
01043,Alabama,Cullman,0.3754266,1663,0.2368601,835,N/A,N/A,N/A,N/A,0.0256588,1665,0.2378641,835,0.921818078,0.859292805,0.866891921,0.731133103,49032.96875,49251.27734,44244.97266,0
01045,Alabama,Dale,0.3503937,1772,0.1391076,687.5,N/A,N/A,N/A,N/A,0.0312076,1874.5,0.1383989,687.5,0.698451877,0.865592539,0.880827308,0.83037281,55568.21875,61067.5,40916.18359,1
