id,state,county,perc_debt_student,med_debt_student,perc_debt_collect,med_debt_collect,med_monthdebt_student,perc_debt_student_nw,med_debt_student_nw,perc_debt_collect_nw,med_debt_collect_nw,med_monthdebt_student_nw,perc_debt_student_wh,med_debt_student_wh,perc_debt_collect_wh,med_debt_collect_wh,med_monthdebt_student_wh,perc_pop_wh,perc_pop_ba,perc_pop_whba,perc_pop_nwba,avg_income,avg_income_wh,avg_income_nw,ACS5yrdataflag
01001,Alabama,Autauga,0.1597444,19440.5,0.0266241,n<50,214.5,n<50,n<50,n<50,n<50,n<50,0.1653179,19700,0.0254335,n<50,221,0.75782764,0.232302651,0.251650482,0.163747817,64764.58984,69779.69531,45980.71094,1
01003,Alabama,Baldwin,0.1420927,13963.5,0.0199168,8030,162,n<50,n<50,n<50,n<50,n<50,0.1432076,14000,0.0190126,7889.5,163.5,0.831038177,0.294981152,0.308310896,0.214306742,73407.60156,75744.71094,56868.92188,0
01005,Alabama,Barbour,0.0983982,n<50,0.0160183,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,0.462423891,0.125159502,0.188866794,0.059344936,44687.95313,56666.57422,32237.81445,1
01007,Alabama,Bibb,0.1107595,n<50,0.0189873,n<50,n<50,0.0925926,n<50,0.0555556,n<50,n<50,0.1145038,n<50,0.0114504,n<50,n<50,0.745000899,0.106468745,0.110009246,0.09517426,52241.33984,55418.61719,38111.08594,1
01009,Alabama,Blount,0.0964126,11128,0.0190583,n<50,129,n<50,n<50,n<50,n<50,n<50,0.0965208,11128,0.0190797,n<50,129,0.878530562,0.12890783,0.136387825,0.05674142,54884.13672,56149.82031,40938.22266,1
01011,Alabama,Bullock,0.1741935,n<50,0.0387097,n<50,n<50,0.177305,n<50,0.035461,n<50,n<50,n<50,n<50,n<50,n<50,n<50,0.222138971,0.138612524,0.271813869,0.093203537,41946.97266,65792.57813,33421.26953,1
01013,Alabama,Butler,0.1202346,n<50,0.0146628,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,0.533359528,0.145184338,0.190523565,0.083963059,43971.98438,54605.63281,31161.54883,1
01015,Alabama,Calhoun,0.1153846,17213,0.0189673,n<50,132.5,N/A,N/A,N/A,N/A,N/A,0.1244416,17042,0.0191449,n<50,132.5,0.730265439,0.173000619,0.194266036,0.101529904,53327.14063,58369.79297,38181.41016,0
01017,Alabama,Chambers,0.1197411,15535,0.012945,n<50,n<50,n<50,n<50,n<50,n<50,n<50,0.1172161,n<50,0.007326,n<50,n<50,0.572845459,0.115856215,0.150786504,0.062133648,49455.98047,58167.05469,36861.46875,1
01019,Alabama,Cherokee,0.086514,n<50,0.0025445,n<50,n<50,N/A,N/A,N/A,N/A,N/A,0.0867347,n<50,0.002551,n<50,n<50,0.917179346,0.137610763,0.141083136,0.092537314,50590.53125,51855.77344,34787.08203,1
01021,Alabama,Chilton,0.0971429,11611,0.0228571,n<50,n<50,N/A,N/A,N/A,N/A,N/A,0.0971429,11611,0.0228571,n<50,n<50,0.805335581,0.140845552,0.150688261,0.089899413,55545.51953,57760.86719,43807.95313,1
01023,Alabama,Choctaw,0.1449275,n<50,0.0386473,n<50,n<50,n<50,n<50,n<50,n<50,n<50,0.0545455,n<50,0.0181818,n<50,n<50,0.558939874,0.118103631,0.112606876,0.125588313,47721.36328,58058.87109,34726.23438,1
01025,Alabama,Clarke,0.125,n<50,0.0217391,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,n<50,0.53354609,0.129437178,0.185665742,0.055817716,48153.00391,59964.95703,32419.00195,1
01027,Alabama,Clay,0.0833333,n<50,0.0189394,n<50,n<50,N/A,N/A,N/A,N/A,N/A,0.0685484,n<50,0.016129,n<50,n<50,0.799364686,0.095857367,0.101934336,0.067382231,44846.41016,47288.96875,33222.84766,1
01029,Alabama,Cleburne,0.092827,n<50,0.0168776,n<50,n<50,N/A,N/A,N/A,N/A,N/A,0.093617,n<50,0.0170213,n<50,n<50,0.925010026,0.120633401,0.120481931,0.122708037,50244.28516,51207.33984,36645.55078,1
01031,Alabama,Coffee,0.1257557,16484,0.0181378,n<50,175.5,N/A,N/A,N/A,N/A,N/A,0.1281407,16484,0.0188442,n<50,175.5,0.715195358,0.238596797,0.264010876,0.163727954,62808.35547,66449.92969,51435.39844,1
01033,Alabama,Colbert,0.1240561,14044,0.0183387,n<50,131,N/A,N/A,N/A,N/A,N/A,0.1252723,14044,0.0185185,n<50,131,0.789012551,0.185829297,0.191912338,0.159219459,53233.21875,56042.42969,41736.07813,1
01035,Alabama,Conecuh,0.1091954,n<50,0.0402299,n<50,n<50,N/A,N/A,N/A,N/A,N/A,n<50,n<50,n<50,n<50,n<50,0.50967741,0.082201011,0.108900942,0.048370671,38050.62109,48302.73828,26171.17773,1
01037,Alabama,Coosa,0.0740741,n<50,0.0123457,n<50,n<50,N/A,N/A,N/A,N/A,N/A,0.0555556,n<50,0,n<50,n<50,0.652035892,0.084642231,0.097378276,0.059284117,41365.21484,48280.46094,27860.51758,1
01039,Alabama,Covington,0.0968254,14063,0.0111111,n<50,n<50,n<50,n<50,n<50,n<50,n<50,0.0976,14063,0.0112,n<50,n<50,0.8334741,0.143256515,0.153285637,0.081322849,50924.71094,53833.03125,34124.75,1
01041,Alabama,Crenshaw,0.0733591,n<50,0.011583,n<50,n<50,N/A,N/A,N/A,N/A,N/A,0.0725806,n<50,0.0120968,n<50,n<50,0.704907477,0.142857149,0.148344561,0.127965778,50203.08203,56743.20703,34433.01563,1
01043,Alabama,Cullman,0.105802,12495,0.025256,n<50,119,N/A,N/A,N/A,N/A,N/A,0.1067961,12577.5,0.0256588,n<50,119,0.921818078,0.127775043,0.128616244,0.107349664,49032.96875,49251.27734,44244.97266,0
01045,Alabama,Dale,0.1259843,13322,0.0301837,n<50,155,N/A,N/A,N/A,N/A,N/A,0.1275441,13322,0.0312076,n<50,n<50,0.698451877,0.163543388,0.173626289,0.134333611,55568.21875,61067.5,40916.18359,1
01047,Alabama,Dallas,0.1402985,16115,0.0283582,n<50,n<50,0.14241,16708,0.028169,n<50,n<50,n<50,n<50,n<50,n<50,n<50,0.285738021,0.140166834,0.211654752,0.10474997,43625.72266,71453.0625,31290.37109,1
01049,Alabama,De Kalb,0.0826291,10886.5,0.0093897,n<50,n<50,N/A,N/A,N/A,N/A,N/A,0.0826291,10886.5,0.0093897,n<50,n<50,0.808873177,0.100195758,0.115168542,0.006852444,48451.00781,50924.67578,31566.78516,0
