Full county name from Census	County FIPS
Hoonah-Angoon Census Area	02105
Kusilvak Census Area	02158
Petersburg Borough	02195
Prince of Wales-Hyder Census Area	02198
Skagway Municipality	02230
Wrangell City and Borough	02275
Montgomery County	05097
Kalawao County	15005
Doña Ana County	35013
Oglala Lakota County	46102
