id,state,abbr,perc_stud_debt,perc_stud_debt_wh,perc_stud_debt_nw,med_stud_debt,med_stud_debt_wh,med_stud_debt_nw,perc_stud_debt_collect,perc_stud_debt_collect_wh,perc_stud_debt_collect_nw,med_stud_debt_collect,med_stud_debt_collect_wh,med_stud_debt_collect_nw,med_mon_pmt,med_mon_pmt_wh,med_mon_pmt_nw,perc_pop_nw,perc_no_bach,perc_no_bach_wh,perc_no_bach_nw,avg_income,avg_income_wh,avg_income_nw
USA,USA,,.1598145,.1607863,.1563392,16995,17300,15511,.0214597,.0181731,.0287682,8060,8393,7585,169,174,151,0.385429621,0.693959713,0.657886326,0.763777316,78377.82031,85120.73438,63786.77734
01,Alabama,AL,.1439932,.1311073,.1772661,17000,16526,16770,.0232934,.017481,.0435676,7172.5,7942.5,6799,156,155,144,0.340586543,0.758435369,0.730155945,0.822740018,62307.3125,69916.65625,45542.30078
02,Alaska,AK,.1397926,.1417861,.1076389,14231,14316,14250,.0216293,.0218261,.0173611,7448.5,8969,n<50,165,160,168.5,0.387252986,0.703068852,0.634388328,0.844494402,92875.89063,99587.10156,76386.90625
04,Arizona,AZ,.1551244,.1539241,.1441118,15992,17625,12480,.0262899,.0212246,.0348107,7076,8175,6066,158,174,130,0.443141937,0.722842932,0.660848916,0.828811169,70637.71875,78061.21094,56253.74219
05,Arkansas,AR,.1506433,.1467501,.1908615,15126,14989.5,15675,.0253342,.0226911,.0437887,8527,8436,9233.5,151,152,146,0.269716263,0.781981647,0.764521897,0.841721296,59274.66797,63886.73828,43748.54688
06,California,CA,.1210964,.1151122,.1200319,15798,18218,14058,.0156963,.0104618,.0186427,9526,11395,9003,169,190,151,0.621530414,0.677377582,0.579459906,0.752002895,91757.13281,107226.8047,77126.25781
08,Colorado,CO,.1850799,.1866015,.1604713,17667,18227,15613,.0218853,.0187192,.0269679,8802,8987,8282,177,181,143,0.315093517,0.607616067,0.543878317,0.785766959,85914.67969,93160.89844,63343.85938
09,Connecticut,CT,.1730269,.1764073,.1523729,18174,19052,15710,.0165788,.012452,.0271861,9532,10238,8291,187,197.5,156,0.320558786,0.616908312,0.57131505,0.737053037,101346.8906,112654.7031,70003.42969
10,Delaware,DE,.1532152,.1403737,.218254,18667,19286,17535,.0209129,.0161854,.0436508,8176,9381.5,n<50,180,187,199,0.369538486,0.690594792,0.672494173,0.729595542,81120.375,85517.11719,71327.90625
11,District of Columbia,DC,.2100146,.1650888,.2301385,24131,31821.5,21785.5,.0258109,.0076923,.0356234,10154,n<50,9530,242,278,222,0.640218794,0.432535231,0.083768308,0.656015754,114600.4063,170418.25,76305.17969
12,Florida,FL,.1395774,.1257251,.1515353,16637,16624,15934,.0227303,.0186119,.0274299,8387,8844,8214,154,160,142,0.448949873,0.715696931,0.681171298,0.767040014,70462.35156,78052.02344,57349.00391
13,Georgia,GA,.1799486,.1513941,.2250885,18821,17515.5,20291,.0278567,.0180017,.0458607,7118,7620,6712.5,170,173,168,0.463261247,0.700750649,0.664265633,0.751248956,71554.57031,82288.4375,56336.52734
15,Hawaii,HI,.1125718,.056962,.1135243,15589.5,n<50,15813,.0139119,.0126582,.0139477,8667,n<50,9003,170,n<50,167.5,0.7721771,0.686388493,0.55185771,0.732509673,92496.16406,95309.91406,91219.97656
16,Idaho,ID,.1643637,.1660548,.0689655,15502,15541,n<50,.0214906,.0213622,.0344828,7473,7455,n<50,147,147,n<50,0.173962653,0.740228295,0.722591281,0.852654099,63921.13672,65381.375,53200.57422
17,Illinois,IL,.1656721,.1581878,.1822984,17747.5,17610,16538,.0197692,.0146463,.0357554,7748.5,7875,7574,181,185,152,0.381925821,0.670565605,0.629535079,0.751521587,82699.35938,91124.39063,64057.1875
18,Indiana,IN,.1774558,.1731634,.2172185,16715,16749.5,16636,.0285151,.0249275,.0600442,7008,7329,5828.5,163,165,152,0.201036632,0.750635564,0.743113279,0.789253056,67064.73438,69830.63281,52874.25
19,Iowa,IA,.201383,.2020282,.1914894,15236,15380,n<50,.0247471,.0239213,.0851064,7778,7809,n<50,162,163,n<50,0.132341683,0.731699228,0.724199295,0.801789284,70035.60938,72119.64844,49504.86328
