"id","state","abbr","stdtot","stdtot_com_col","stdtot_white","stdtotpos_p50","stdtotpos_p50_com_col","stdtotpos_p50_white","stdcollofstdtot","stdcollofstdtot_com_col","stdcollofstdtot_white","stdcollpos_p50","stdcollpos_p50_com_col","stdcollpos_p50_white","stdmonthpos_p50","stdmonthpos_p50_com_col","stdmonthpos_p50_white","educ_ltBA","educ_ltBA_com_col","educ_ltBA_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"USA","USA",NA,0.1527013,0.1518699,0.1531608,20625,19875,21069,0.0146102,0.0188631,0.0124523,2940,2752,3080,166,153,171,0.6434227,0.7059945,0.6046579,0.4234616,105554.9,92649.18,112822.2
"01","Alabama","AL",0.1502426,0.1794561,0.1416174,20926,22347,20500,0.0160826,0.0197647,0.0146972,2510,3216.5,2460,160,159.5,160,0.7119963,0.7714509,0.6830834,0.3594812,82956.09,64602.09,92351.28
"02","Alaska","AK",0.1271245,0.1158301,0.130592,20054,17793.5,20562.5,0.0163234,0.0333333,0.0121477,NA,NA,NA,157,126,164,0.6941118,0.8125954,0.6242987,0.4259627,109523.7,94616.65,117581.2
"04","Arizona","AZ",0.1426509,0.1472801,0.1398106,18638.5,15690.5,20500,0.0206173,0.0243293,0.0183559,2615,2888.5,2390,147,120,162,0.6703101,0.7637665,0.6037382,0.4816571,101315.6,86738.65,110487.9
"05","Arkansas","AR",0.1541187,0.1705235,0.1515813,18883.5,19202,18865,0.0137244,0.0159102,0.0133475,3418,NA,3418,144,135.5,146,0.7459171,0.7964301,0.726217,0.3252899,76853.21,62091.74,82820.69
"06","California","CA",0.1158845,0.1175733,0.1118148,18795,17728,21580.5,0.015,0.0164791,0.0111995,1966,1843,2398.5,157,146,180,0.6301774,0.6976808,0.5209291,0.6628069,131504.1,118210.8,149054.5
"08","Colorado","CO",0.1706729,0.1655114,0.1718904,21454.5,19793,21829,0.0123478,0.0143369,0.0119184,3042,2485.5,3162,172,151.5,177,0.5408594,0.693716,0.4748226,0.3504592,119039,99244.93,126799.3
"09","Connecticut","CT",0.1774263,0.1816819,0.1758029,21800,20197,22507,0.0150642,0.0230399,0.0118653,3978.5,3809,4161.5,182,152,195,0.5810117,0.6902404,0.5263366,0.3803679,128159.7,101500.4,140844.9
"10","Delaware","DE",0.1570409,0.1863898,0.1479709,22943,21490.5,23328,0.0160573,0.0201342,0.0144061,3847,NA,3693,179,161,183,0.6348494,0.6889464,0.6044061,0.4114794,105437.9,90064.09,113869.8
"11","District of Columbia","DC",0.201163,0.2270299,0.1576864,28711,27170,36496,0.0141011,0.0175671,0.005668,2615,2672,NA,219,200,255.5,0.3462986,0.5281129,0.0726089,0.6327122,148872.3,108139.5,206169.9
"12","Florida","FL",0.1310208,0.1414644,0.1229874,20634,19892.5,21433,0.0184911,0.0217465,0.0156405,3568,3351,3951,159,146,167,0.657335,0.7046128,0.6185194,0.491594,99348.77,85565.51,109402.3
"13","Georgia","GA",0.1793831,0.2078854,0.1567089,23765.5,25410,22100.5,0.0164855,0.0199195,0.0128583,2847,3032.5,2564,176,179,173,0.6530586,0.6946549,0.6167387,0.503737,99862.94,84901.7,112730.4
"15","Hawaii","HI",0.1060893,0.1065734,0.0780142,20230,20183,27703,0.009692,0.0093784,0.0363636,NA,NA,NA,170,170,NA,0.6457425,0.681634,0.5251538,0.7931275,120969.5,118288.3,128555.6
"16","Idaho","ID",0.1428571,0.0989848,0.1431585,19081,NA,19155,0.006972,NA,0.0067633,3307,NA,3307,147,NA,148,0.6772574,0.7747922,0.6564212,0.2103182,94503.49,79851.3,97308.84
"17","Illinois","IL",0.1584253,0.1680589,0.1541725,21533,21348,21617.5,0.0129984,0.0174993,0.0108309,3028.5,2815,3206,176,165,181,0.6232051,0.692677,0.5816699,0.4153329,106728.2,88600.36,116718.2
"18","Indiana","IN",0.1634582,0.1887563,0.1605406,19862,21546.5,19650,0.0136547,0.0221348,0.0125079,2209.5,2162,2210.5,160,153,160,0.7039974,0.7409128,0.694645,0.2400956,88805.05,74148.66,92461.75
"19","Iowa","IA",0.1769001,0.1566059,0.1772997,18877,15891,18924.5,0.014472,0.0181818,0.0144103,5162,NA,5288.5,161,135,162,0.6768686,0.7380304,0.6670995,0.1719744,92695.08,77317.98,95017.93
"20","Kansas","KS",0.1619633,0.1267926,0.1650663,19319.5,17821,19426,0.0162067,0.0324748,0.0151092,1622,NA,1688,157,128,159,0.6439168,0.7457433,0.6142675,0.2686982,93220.9,79259.39,96974.68
"21","Kentucky","KY",0.1585133,0.1835993,0.157608,19885,22456,19817.5,0.0115688,0.0121012,0.0115515,2901,NA,2770,152,142,152,0.7213857,0.7477018,0.7167172,0.1775835,82614.07,74493.52,84057.48
"22","Louisiana","LA",0.1698529,0.2016912,0.1562684,19000,20323,18011,0.0142069,0.0189779,0.0115753,2500,2393,2569,142,142,141,0.7286586,0.7913988,0.6873547,0.4328792,79175.06,58659.19,92606.89
"23","Maine","ME",0.1718026,NA,0.1721112,20397,NA,20416,0.0107358,NA,0.0107485,4994.5,NA,4994.5,169,NA,169,0.6393135,0.6667056,0.6368285,0.0982481,93554.98,85552.91,94239.19
"24","Maryland","MD",0.1660662,0.187406,0.1469035,24401,25573.5,23111.5,0.0180104,0.0203162,0.0153929,2362,2367,2354.5,187,186,187,0.5616868,0.6183263,0.5064732,0.5285236,125875.9,109098.2,141262.3
"25","Massachusetts","MA",0.1716529,0.169853,0.1720487,21999,20463,22401,0.0126652,0.0205914,0.0110481,7045,4396,8120,199,167,206,0.5335497,0.625554,0.4963355,0.3301855,133823.2,112253.1,141924.1
"26","Michigan","MI",0.1675449,0.2036046,0.1624792,21343,21259,21355,0.0174842,0.03125,0.0150609,2596,2398,2642.5,170,149,173,0.6787695,0.7250737,0.6641856,0.2735733,91855.73,75407.11,96935.42
"27","Minnesota","MN",0.1847838,0.2010837,0.183584,20724,20841,20718,0.0068262,0.0113684,0.0064625,5301,NA,4661,180,173,180,0.608604,0.6742102,0.5932486,0.2380257,109736.5,93603.81,113305.4
"28","Mississippi","MS",0.1786593,0.208408,0.163375,19514,20500,18901.5,0.0122964,0.0162153,0.0097181,3265,2780,5747,140,140,140,0.7523656,0.8096744,0.7121867,0.4469566,72623.66,52691.91,87069.41
"29","Missouri","MO",0.164099,0.1990315,0.1599753,20878,22461.5,20657,0.0160814,0.0280536,0.0142951,2550.5,1950,2652.5,163,157,163,0.6779948,0.7209132,0.6670139,0.2338226,88586.2,72871.03,92754.14
"30","Montana","MT",0.1456641,0.1214539,0.1464949,19103.5,11991,19322,0.0093925,0.0218978,0.0090405,NA,NA,NA,159,134.5,160,0.6540249,0.7445275,0.6399922,0.1652039,90874.4,78226.02,92739.03
"31","Nebraska","NE",0.1601284,0.1188449,0.1641816,18858,17129.5,18984,0.0058158,0.0140187,0.0052309,5366.5,NA,NA,160,125,162,0.6534735,0.7577208,0.6282671,0.2418377,94599.48,78288.85,98260.13
"32","Nevada","NV",0.1250688,0.1272834,0.1224887,17301.5,15790,19260.5,0.0228774,0.0267521,0.0178829,2291,2420.5,2005,136,121,156,0.7296529,0.7889346,0.6709087,0.5562472,98421.59,85596.88,109382.5
"33","New Hampshire","NH",0.1780699,NA,0.1780965,22222,NA,22222,0.012325,NA,0.012325,7591,NA,7591,196,NA,196,0.586965,0.5750695,0.5885011,0.1341212,119452.3,119115.1,119491.8
"34","New Jersey","NJ",0.1634933,0.1643583,0.1629558,21728,20206.5,22883,0.0141861,0.0190809,0.0109347,4544,4482,4769,181,161,200,0.564716,0.6260411,0.5145766,0.4853562,134190.7,116528.8,147340
"35","New Mexico","NM",0.1253223,0.1273974,0.1181395,18093,17274,21711,0.0168109,0.0177299,0.0133253,1727.5,1611.5,NA,140,134,163,0.695418,0.787035,0.5603172,0.6519837,82381.87,70821.5,97873.15
"36","New York","NY",0.1551947,0.1456584,0.161381,21831,20940.5,22347,0.0153779,0.0184172,0.0136323,4176,5011.5,3740,180,167,189,0.6000241,0.6841417,0.5329754,0.4710142,119130.2,98167.42,133980.8
"37","North Carolina","NC",0.154914,0.1918559,0.1412599,22754,24275,21994,0.0128383,0.0167085,0.010891,2981.5,2889.5,3101,172,174,171,0.6408091,0.7167523,0.6003122,0.3926969,94352.95,75980.76,104153.7
"38","North Dakota","ND",0.1796518,0.1211679,0.1814468,19169,10224,19321.5,0.0083953,0,0.0085658,NA,NA,NA,166,108.5,167,0.6817299,0.7574439,0.6686903,0.1796112,97699.02,67560.37,102892.6
"39","Ohio","OH",0.1781868,0.2082901,0.1744093,21556,21610,21546,0.0130968,0.022382,0.0116994,2910,2552,3075.5,168,154,171,0.6801867,0.7289135,0.6675335,0.2387931,90109.07,72838.73,94699.15
"40","Oklahoma","OK",0.1466103,0.1408495,0.1476924,18495,17693,18637,0.0199855,0.0210643,0.0197935,2494,3047,2483,140,129,143.5,0.7148152,0.7784654,0.6854677,0.3737492,82741.03,70765.54,88175.7
"41","Oregon","OR",0.1491425,0.1230769,0.1497851,21750,17514.5,21865,0.0083725,0.0208333,0.0080717,2905.5,NA,2911,166,137.5,167,0.6365754,0.6904923,0.6196771,0.2836149,102923,95784.63,104935.7
"42","Pennsylvania","PA",0.1897977,0.2211237,0.1851532,22979,20133,23369,0.0169429,0.0270199,0.0151619,3291,2687,3643.5,183,152,190,0.6492807,0.7056458,0.6324636,0.2686384,100014.8,82584.48,105145
"44","Rhode Island","RI",0.1810016,0.1915192,0.1788317,19500,15765,20244.5,0.0117842,0.0137237,0.0113544,3810,NA,5246,171,125.5,179,0.6036808,0.7388721,0.554411,0.3180929,108022.9,88576.16,114206.2
"45","South Carolina","SC",0.1691695,0.1861124,0.1640026,22231,22087.5,22267.5,0.0158153,0.0228509,0.0133786,2699,2440.5,2844,167,160,170,0.6740714,0.777176,0.621896,0.3749824,88704.25,67572.59,99540.46
"46","South Dakota","SD",0.1806115,0.1147245,0.1834233,19500,13005,19500,0.0081883,0.023622,0.0077764,NA,NA,NA,165,119,166,0.6841573,0.788791,0.6647739,0.2010708,90805.69,75042.56,93535.44
"47","Tennessee","TN",0.1491744,0.2090292,0.13765,20746,21765,20532,0.0122378,0.0196344,0.0100718,2663,2551,3141.5,159,154,160,0.6890045,0.7358032,0.6737678,0.2809839,89799.12,73647.34,95128.75
"48","Texas","TX",0.1488145,0.1519987,0.1441801,19000,18067,20274.5,0.0153054,0.0165476,0.013378,2709.5,2613,2878,151,141,166,0.6605971,0.7309772,0.5695313,0.6109358,101737.8,84837.01,122042.1
"49","Utah","UT",0.1236105,0.0896776,0.1263432,16822,14809.5,16910,0.0150561,0.0151057,0.0150545,2573.5,NA,2477.5,146,124,147,0.6206156,0.7301642,0.590956,0.2435323,114044,96287.21,118396.9
"50","Vermont","VT",0.159117,NA,0.1592073,22525,NA,22504,0.0105105,NA,0.0105232,NA,NA,NA,200,NA,200,0.557699,0.5311893,0.5601545,0.0981634,97261.2,93771.8,97582.66
"51","Virginia","VA",0.1601314,0.1760739,0.1525858,23397.5,23324,23409.5,0.0137712,0.0173191,0.011828,2857,2724,2954.5,183,178,186,0.5781692,0.6268555,0.5486031,0.4132481,119058.2,106138.4,126330.2
"53","Washington","WA",0.1269515,0.1145301,0.1298487,20000,18766,20307.5,0.0103385,0.0157129,0.0092424,3078.5,3237,3012,164,160,165,0.6051918,0.6330432,0.5922878,0.3653234,125847.3,123227,126929.4
"54","West Virginia","WV",0.1525838,0.0930233,0.1527656,19001,NA,19017,0.0117239,NA,0.0117492,2479,NA,2479,150,NA,150,0.7520241,0.7585397,0.7513921,0.1019787,75265.1,66982.34,76020.34
"55","Wisconsin","WI",0.158136,0.1924483,0.1552661,19322,20247,19201,0.0087152,0.0222872,0.0072968,2850,1782,3783,162,145,163.5,0.6677458,0.7452877,0.6521898,0.2101824,94085.06,78196.43,97114.26
"56","Wyoming","WY",0.1228314,0.0909091,0.1230485,18019,NA,18135,0.0203712,NA,0.0204638,NA,NA,NA,150,NA,150,0.7044343,0.7871869,0.6883692,0.1860415,90018.06,86288.9,90725.34
