"id","state","abbr","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","delinquency_by_credit","delinquency_by_credit_near","delinquency_by_credit_pr","autoopen","autoopen_com_col","autoopen_white","autoretopen","autoretopen_com_col","autoretopen_white","poprural","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"28","Mississippi","MS",0.0931839,0.1308342,0.0747872,0.305545,0.0247558,0.0011727,0.3167859,0.2961373,0.3274304,0.4154839,0.398432,0.4243318,0.53709529,0.4469566,72623.66,52691.91,87069.41
"29","Missouri","MO",0.052506,0.121466,0.0453658,0.2517079,0.0140461,0.00071,0.3060956,0.259413,0.3116432,0.3670363,0.3210298,0.3725192,0.30532519,0.2338226,88586.2,72871.03,92754.14
"30","Montana","MT",0.0273038,0.1103448,0.0243361,0.1933174,0.0069791,0.0005608,0.2887084,0.2969858,0.2884147,0.3644514,0.3776596,0.3639948,0.46581475,0.1652039,90874.4,78226.02,92739.03
"31","Nebraska","NE",0.0289936,0.0501055,0.0271196,0.1889387,0.0097602,0.0003686,0.3292202,0.2798963,0.3340642,0.3838159,0.3465383,0.3874758,0.26994643,0.2418377,94599.48,78288.85,98260.13
"32","Nevada","NV",0.0586032,0.0754463,0.0385304,0.2420367,0.01431,0.0005624,0.2959077,0.2860107,0.3086556,0.3572229,0.3489341,0.3680635,0.05907691,0.5562472,98421.59,85596.88,109382.5
"33","New Hampshire","NH",0.0266438,NA,0.0266451,0.183172,0.0099502,0.0005588,0.3743581,NA,0.3743926,0.4201913,NA,0.4202327,0.41676727,0.1341212,119452.3,119115.1,119491.8
"34","New Jersey","NJ",0.0417966,0.0670616,0.0270196,0.2259001,0.0123522,0.000768,0.2808179,0.2459801,0.3037946,0.3235142,0.2990858,0.3396402,0.06246263,0.4853562,134190.7,116528.8,147340
"35","New Mexico","NM",0.0616817,0.067724,0.0358607,0.273899,0.0118275,0.000332,0.3312056,0.3434506,0.2879428,0.4018143,0.4176666,0.3458318,0.25452864,0.6519837,82381.87,70821.5,97873.15
"36","New York","NY",0.0411198,0.0696743,0.0290307,0.222749,0.0154879,0.0007096,0.2497955,0.1667207,0.3029435,0.2967798,0.2246958,0.3429382,0.1255409,0.4710142,119130.2,98167.42,133980.8
"37","North Carolina","NC",0.0567077,0.0813155,0.0472423,0.2442529,0.0167745,0.0005847,0.311444,0.3126611,0.3110187,0.3872805,0.3953686,0.3843326,0.33284145,0.3926969,94352.95,75980.76,104153.7
"38","North Dakota","ND",0.0293447,0.0555556,0.0284888,0.203533,0.0101146,0.0004374,0.3485306,0.3664234,0.3479728,0.412695,0.4408759,0.41183,0.39033159,0.1796112,97699.02,67560.37,102892.6
"39","Ohio","OH",0.0502549,0.1121482,0.0431151,0.2330691,0.0127989,0.0005944,0.3197865,0.2822049,0.3245461,0.3678688,0.3334621,0.3722263,0.23715931,0.2387931,90109.07,72838.73,94699.15
"40","Oklahoma","OK",0.0556442,0.0792035,0.0517923,0.239167,0.0113359,0.0005697,0.3191413,0.2790964,0.3266287,0.3893404,0.3453571,0.3975564,0.35378053,0.3737492,82741.03,70765.54,88175.7
