"id","state","abbr","totcoll","totcoll_com_col","totcoll_white","totcollpos_p50","totcollpos_p50_com_col","totcollpos_p50_white","medcoll","medcoll_com_col","medcoll_white","stdcollofstdtot","stdcollofstdtot_com_col","stdcollofstdtot_white","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","carddelrate","carddelrate_com_col","carddelrate_white","carddelpos_p50","carddelpos_p50_com_col","carddelpos_p50_white"
"USA","USA",NA,0.1603635,0.2015256,0.1364442,1376,1466,1302,0.0331662,0.0376031,0.0305789,0.011617,0.0170338,0.0091319,0.0656677,0.088462,0.0531823,0.0586962,0.0793122,0.047161,435,438,431
"01","Alabama","AL",0.2280412,0.3356401,0.1943512,1306,1394,1273,0.0486889,0.0638566,0.0439463,0.0081816,0.0090909,0.0078628,0.1070409,0.1779575,0.0852786,0.0821784,0.1453567,0.0656173,403,418,373
"02","Alaska","AK",0.1349622,0.1717452,0.1253687,1438.5,1524.5,1360,0.034904,0.0387812,0.0339233,0.0276817,0.0447761,0.0226244,0.0306122,0.0434783,0.0274841,0.0517241,0.0769231,0.0459906,442.5,NA,NA
"04","Arizona","AZ",0.1719463,0.2221047,0.1303175,1587,1644,1520.5,0.0351027,0.0420941,0.0292301,0.021618,0.0223368,0.0212688,0.0645768,0.0832507,0.0475617,0.0640796,0.0862327,0.048104,433.5,390,471
"05","Arkansas","AR",0.2384106,0.3234824,0.2236258,1319.5,1447,1277,0.0520341,0.0662939,0.0495558,0.0089087,0.022508,0.0067218,0.0900965,0.1510417,0.0803978,0.0937143,0.1418685,0.086384,389.5,376.5,389.5
"06","California","CA",0.1156796,0.1271338,0.0799304,1401,1421.5,1278,0.0169579,0.0175076,0.0151762,0.0156821,0.0176422,0.0096324,0.0535338,0.0578582,0.037476,0.0463779,0.0521526,0.0297315,485,485,485
"08","Colorado","CO",0.1152697,0.1706886,0.0999027,1388,1387.5,1388,0.0001271,0.0002943,8.11e-05,0.0106653,0.0060332,0.0116031,0.0566119,0.0645973,0.0535662,0.0490055,0.0738964,0.0426837,408,363.5,435
"09","Connecticut","CT",0.1138041,0.2029412,0.0746483,1255,1324,1140.5,0.0173549,0.0261438,0.0134941,0.0089127,0.0179136,0.0060443,0.0431253,0.0684292,0.0308735,0.0524803,0.1045016,0.032027,399,414,391
"10","Delaware","DE",0.1768927,0.2951483,0.1339853,1397,1528,1231,0.0448511,0.0862534,0.0298289,0.0126582,0.0265487,0.007776,0.0983827,0.1492537,0.0794824,0.0795195,0.1391509,0.060423,469,523,272
"11","District of Columbia","DC",0.1476341,0.2039216,0.0460177,1145,1163,NA,0.0113565,0.0127451,0.0088496,0.0295276,0.0347594,0.0149254,0.1442786,0.1647727,NA,0.0653465,0.1075838,0.0112867,446,387,NA
