"id","state","abbr","medcoll","medcoll_com_col","medcoll_white","medcollpos_p50","medcollpos_p50_com_col","medcollpos_p50_white","nohealthinsurance","nohealthinsurance_com_col","nohealthinsurance_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"34","New Jersey","NJ",0.0348825,0.0471413,0.0268102,1159,1166,1149,0.0684052,0.1118494,0.0274406,0.4853562,134190.7,116528.8,147340
"35","New Mexico","NM",0.0589271,0.0641323,0.0404293,1549.5,1539,1599,0.0821794,0.0984697,0.0514017,0.6519837,82381.87,70821.5,97873.15
"36","New York","NY",0.0165071,0.0154811,0.0171652,1181,1119,1269,0.0485132,0.0686861,0.0305647,0.4710142,119130.2,98167.42,133980.8
"37","North Carolina","NC",0.0845953,0.1026811,0.0778836,1528,1507,1531,0.0928451,0.1380588,0.0637236,0.3926969,94352.95,75980.76,104153.7
"38","North Dakota","ND",0.0244764,0.0379562,0.0240686,1286,NA,1257,0.0637752,0.1631241,0.0422708,0.1796112,97699.02,67560.37,102892.6
"39","Ohio","OH",0.0626225,0.0848813,0.0598165,1313,1238,1326,0.0589028,0.0851572,0.0507136,0.2387931,90109.07,72838.73,94699.15
"40","Oklahoma","OK",0.1012923,0.1387154,0.0943048,1621,1530,1650,0.1172645,0.1740289,0.0835792,0.3737492,82741.03,70765.54,88175.7
"41","Oregon","OR",0.0146375,0.0144231,0.0146427,1372,NA,1368,0.0601116,0.1003513,0.0441994,0.2836149,102923,95784.63,104935.7
"42","Pennsylvania","PA",0.0337864,0.045735,0.0320122,1268,1372.5,1248,0.0532405,0.0755811,0.0450893,0.2686384,100014.8,82584.48,105145
"44","Rhode Island","RI",0.0148106,0.0206764,0.0135973,1340,1409.5,1331,0.0421413,0.0832872,0.0228691,0.3180929,108022.9,88576.16,114206.2
"45","South Carolina","SC",0.0911254,0.1143457,0.0840409,1753,1700,1768,0.0907301,0.1249284,0.0704326,0.3749824,88704.25,67572.59,99540.46
"46","South Dakota","SD",0.0140496,0.0325203,0.0132614,1615,NA,1634.5,0.0805731,0.1735449,0.0574153,0.2010708,90805.69,75042.56,93535.44
"47","Tennessee","TN",0.0744225,0.0994622,0.069581,1392,1186,1452,0.093082,0.1418551,0.0741506,0.2809839,89799.12,73647.34,95128.75
"48","Texas","TX",0.0889665,0.0954914,0.0792851,1628,1625,1634,0.1658447,0.2136793,0.0906294,0.6109358,101737.8,84837.01,122042.1
"49","Utah","UT",0.0237288,0.042265,0.0222341,1566.5,1570,1566,0.0812857,0.1689219,0.0531267,0.2435323,114044,96287.21,118396.9
"50","Vermont","VT",0.0115157,NA,0.0115361,1054,NA,1054,0.0387324,0.040031,0.0385904,0.0981634,97261.2,93771.8,97582.66
"51","Virginia","VA",0.0622202,0.081357,0.0530987,1436,1406.5,1457,0.0645253,0.0983032,0.0408974,0.4132481,119058.2,106138.4,126330.2
"53","Washington","WA",0.0144248,0.0187292,0.0134227,1353,1434,1324,0.0609828,0.0962872,0.0407047,0.3653234,125847.3,123227,126929.4
"54","West Virginia","WV",0.0671011,0.1046512,0.0671062,1406,NA,1407,0.0591907,0.0776809,0.0571806,0.1019787,75265.1,66982.34,76020.34
"55","Wisconsin","WI",0.0515343,0.0906342,0.0482063,1662,1299,1710,0.0519327,0.1041152,0.0381531,0.2101824,94085.06,78196.43,97114.26
"56","Wyoming","WY",0.0999222,0.2,0.099267,2516,NA,2557.5,0.114967,0.1789299,0.100563,0.1860415,90018.06,86288.9,90725.34
