"id","state","abbr","totcoll","totcoll_com_col","totcoll_white","totcollpos_p50","totcollpos_p50_com_col","totcollpos_p50_white","medcoll","medcoll_com_col","medcoll_white","stdcollofstdtot","stdcollofstdtot_com_col","stdcollofstdtot_white","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","carddelrate","carddelrate_com_col","carddelrate_white","carddelpos_p50","carddelpos_p50_com_col","carddelpos_p50_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"16","Idaho","ID",0.1538303,0.248731,0.1531865,2236.5,1843.5,2244,0.0324558,0.0583756,0.0322798,0.006972,NA,0.0067633,0.0317327,0.0306748,0.0317404,0.0359461,0.0564103,0.0358444,649.5,NA,649,0.2103182,94503.49,79851.3,97308.84
"17","Illinois","IL",0.2056936,0.2946603,0.1663612,1993,1971,2012.5,0.0530815,0.0684954,0.0462592,0.0129984,0.0174993,0.0108309,0.0480154,0.077025,0.0362232,0.0473072,0.0765952,0.0362393,601,548,648,0.4153329,106728.2,88600.36,116718.2
"18","Indiana","IN",0.22756,0.3795089,0.2100165,2088,2192,2068,0.0640633,0.0931712,0.0607134,0.0136547,0.0221348,0.0125079,0.05228,0.1108274,0.0459278,0.0546316,0.1041333,0.0499029,542,484,563,0.2400956,88805.05,74148.66,92461.75
"19","Iowa","IA",0.1759624,0.3200456,0.1732311,1816.5,1400,1840,0.0355675,0.0700456,0.0349103,0.014472,0.0181818,0.0144103,0.0310788,0.0589198,0.0305951,0.0409212,0.0622797,0.0406165,599,379,601,0.1719744,92695.08,77317.98,95017.93
"20","Kansas","KS",0.2009926,0.3316768,0.1894952,2049,1710,2103.5,0.061083,0.094136,0.0581729,0.0162067,0.0324748,0.0151092,0.0387855,0.0738168,0.0359757,0.0430769,0.0897651,0.039926,607.5,497,628,0.2686982,93220.9,79259.39,96974.68
"21","Kentucky","KY",0.2669716,0.4756615,0.2593398,1500,1296,1517,0.0566195,0.1193698,0.0543295,0.0115688,0.0121012,0.0115515,0.0516503,0.0986888,0.050282,0.0594279,0.1007005,0.058241,559.5,482,567,0.1775835,82614.07,74493.52,84057.48
"22","Louisiana","LA",0.3246277,0.4165666,0.2853504,2051,2068,2042.5,0.0811907,0.0933904,0.0759721,0.0142069,0.0189779,0.0115753,0.0820472,0.1182971,0.0681281,0.0752156,0.1060357,0.0639228,506.5,485,529,0.4328792,79175.06,58659.19,92606.89
"23","Maine","ME",0.1874578,NA,0.1875649,1971,NA,1973.5,0.0640605,NA,0.064161,0.0107358,NA,0.0107485,0.02556,NA,0.0255612,0.038855,NA,0.0389511,630.5,NA,630.5,0.0982481,93554.98,85552.91,94239.19
"24","Maryland","MD",0.2067314,0.2525373,0.1656327,1943,1995.5,1866,0.0372647,0.0437793,0.0314119,0.0180104,0.0203162,0.0153929,0.0538372,0.0712762,0.0391422,0.0555834,0.0698654,0.04389,600,578,622.5,0.5285236,125875.9,109098.2,141262.3
"25","Massachusetts","MA",0.146999,0.2574486,0.1241415,1883,1801,1916,0.0137297,0.0215899,0.0121075,0.0126652,0.0205914,0.0110481,0.0294845,0.0584997,0.0239182,0.0405696,0.0793723,0.0337932,634,563,682,0.3301855,133823.2,112253.1,141924.1
"26","Michigan","MI",0.2093503,0.4364255,0.1774138,1901,2120,1830,0.0346212,0.0534982,0.0319655,0.0174842,0.03125,0.0150609,0.0525827,0.1580885,0.0393004,0.0501998,0.1313909,0.0415856,594,488,634,0.2735733,91855.73,75407.11,96935.42
"27","Minnesota","MN",0.119488,0.2310558,0.1112623,1832,1690,1849,0.0072731,0.0108374,0.0070067,0.0068262,0.0113684,0.0064625,0.0294996,0.0620843,0.0272007,0.0317324,0.0676568,0.02947,667,577,688,0.2380257,109736.5,93603.81,113305.4
"28","Mississippi","MS",0.2960365,0.3762631,0.2547282,1870,1821.5,1904.5,0.0614893,0.0748538,0.0546095,0.0122964,0.0162153,0.0097181,0.0931839,0.1308342,0.0747872,0.0922291,0.1269885,0.0772522,494,476,515.5,0.4469566,72623.66,52691.91,87069.41
"29","Missouri","MO",0.2438564,0.4635339,0.2178877,2031,1947,2053,0.0665523,0.1164147,0.060666,0.0160814,0.0280536,0.0142951,0.052506,0.121466,0.0453658,0.049772,0.1092306,0.0443362,576,480,598,0.2338226,88586.2,72871.03,92754.14
"30","Montana","MT",0.1604227,0.3829787,0.152876,1972,1979.5,1970,0.0420051,0.0921986,0.0403034,0.0093925,0.0218978,0.0090405,0.0273038,0.1103448,0.0243361,0.032214,0.0727273,0.0313399,692,NA,706,0.1652039,90874.4,78226.02,92739.03
"31","Nebraska","NE",0.1570851,0.3093299,0.1420531,2151,2233,2138.5,0.023631,0.0503517,0.0209955,0.0058158,0.0140187,0.0052309,0.0289936,0.0501055,0.0271196,0.0380772,0.0765799,0.0353214,581.5,461,610,0.2418377,94599.48,78288.85,98260.13
"32","Nevada","NV",0.2665972,0.317366,0.2035578,2786,2808,2722,0.0714426,0.0801085,0.0605363,0.0228774,0.0267521,0.0178829,0.0586032,0.0754463,0.0385304,0.0631119,0.0787696,0.0463623,697,656.5,764,0.5562472,98421.59,85596.88,109382.5
"33","New Hampshire","NH",0.145682,NA,0.1457037,2155,NA,2155,0.0239714,NA,0.0239749,0.012325,NA,0.012325,0.0266438,NA,0.0266451,0.0338509,NA,0.0338558,707.5,NA,707.5,0.1341212,119452.3,119115.1,119491.8
"34","New Jersey","NJ",0.1644679,0.2273964,0.1230146,1900,1820,2017,0.0348825,0.0471413,0.0268102,0.0141861,0.0190809,0.0109347,0.0417966,0.0670616,0.0270196,0.0457198,0.0674466,0.0331719,688,599,789,0.4853562,134190.7,116528.8,147340
"35","New Mexico","NM",0.2605182,0.2861349,0.1696601,2122.5,2133.5,2062,0.0589271,0.0641323,0.0404293,0.0168109,0.0177299,0.0133253,0.0616817,0.067724,0.0358607,0.0478512,0.0531127,0.0321086,597,580,688,0.6519837,82381.87,70821.5,97873.15
"36","New York","NY",0.1723808,0.2252855,0.1386628,2109,2030,2196,0.0165071,0.0154811,0.0171652,0.0153779,0.0184172,0.0136323,0.0411198,0.0696743,0.0290307,0.0504487,0.0739518,0.0370511,693,657.5,729,0.4710142,119130.2,98167.42,133980.8
"37","North Carolina","NC",0.2640696,0.3498061,0.2322578,2058,2095,2036,0.0845953,0.1026811,0.0778836,0.0128383,0.0167085,0.010891,0.0567077,0.0813155,0.0472423,0.0597115,0.0867449,0.0509173,568,538,588,0.3926969,94352.95,75980.76,104153.7
"38","North Dakota","ND",0.1413859,0.3211679,0.1359297,2152,967,2217,0.0244764,0.0379562,0.0240686,0.0083953,0,0.0085658,0.0293447,0.0555556,0.0284888,0.0354299,0.0868167,0.0344263,584,NA,583,0.1796112,97699.02,67560.37,102892.6
"39","Ohio","OH",0.2409283,0.4333921,0.2166412,1695,1579,1724,0.0626225,0.0848813,0.0598165,0.0130968,0.022382,0.0116994,0.0502549,0.1121482,0.0431151,0.0540469,0.1159441,0.0479195,591,499,613.5,0.2387931,90109.07,72838.73,94699.15
"40","Oklahoma","OK",0.2932289,0.3970435,0.273853,2168,2018.5,2217,0.1012923,0.1387154,0.0943048,0.0199855,0.0210643,0.0197935,0.0556442,0.0792035,0.0517923,0.0590544,0.0882125,0.0547561,574,539,585.5,0.3737492,82741.03,70765.54,88175.7
"41","Oregon","OR",0.1473234,0.1878205,0.1463318,1772,1660,1775,0.0146375,0.0144231,0.0146427,0.0083725,0.0208333,0.0080717,0.0327134,0.0506329,0.0321891,0.0382934,0.0468397,0.0381325,658,623,658,0.2836149,102923,95784.63,104935.7
"42","Pennsylvania","PA",0.197974,0.3844267,0.1703255,2041,1910,2093.5,0.0337864,0.045735,0.0320122,0.0169429,0.0270199,0.0151619,0.0422943,0.1032948,0.0349535,0.0520715,0.1204359,0.0438284,630,509,672.5,0.2686384,100014.8,82584.48,105145
"44","Rhode Island","RI",0.1817827,0.296478,0.158055,1877,1585,1982,0.0148106,0.0206764,0.0135973,0.0117842,0.0137237,0.0113544,0.039591,0.0812962,0.0320149,0.0534871,0.0965767,0.0458747,616,517,638,0.3180929,108022.9,88576.16,114206.2
"45","South Carolina","SC",0.3087609,0.4286004,0.2721865,2368,2264,2420,0.0911254,0.1143457,0.0840409,0.0158153,0.0228509,0.0133786,0.0682252,0.0988439,0.0586374,0.0625212,0.0954107,0.0545472,552,484,592,0.3749824,88704.25,67572.59,99540.46
"46","South Dakota","SD",0.1428994,0.3839205,0.1326137,2627,2803,2602,0.0140496,0.0325203,0.0132614,0.0081883,0.023622,0.0077764,0.0290714,0.1083123,0.0259969,0.0377548,0.0780488,0.0368133,597,NA,642,0.2010708,90805.69,75042.56,93535.44
"47","Tennessee","TN",0.2610506,0.4071044,0.232879,2006,2146,1967,0.0744225,0.0994622,0.069581,0.0122378,0.0196344,0.0100718,0.0585142,0.1188789,0.0475537,0.0536315,0.1044554,0.0453023,564,485,599,0.2809839,89799.12,73647.34,95128.75
"48","Texas","TX",0.3203941,0.3677639,0.2501064,2322,2279,2426,0.0889665,0.0954914,0.0792851,0.0153054,0.0165476,0.013378,0.0672412,0.0795974,0.0494232,0.0605912,0.0711861,0.047268,617,599,666,0.6109358,101737.8,84837.01,122042.1
"49","Utah","UT",0.1319348,0.2369277,0.1234683,2134,1930,2172,0.0237288,0.042265,0.0222341,0.0150561,0.0151057,0.0150545,0.0298681,0.0576988,0.0276555,0.0333767,0.0593618,0.0316732,600,558,605.5,0.2435323,114044,96287.21,118396.9
"50","Vermont","VT",0.1395738,NA,0.1396295,1770,NA,1770,0.0115157,NA,0.0115361,0.0105105,NA,0.0105232,0.0246941,NA,0.02474,0.0298022,NA,0.0298456,577,NA,577,0.0981634,97261.2,93771.8,97582.66
"51","Virginia","VA",0.2002624,0.2492491,0.1769338,2123,2158,2102,0.0622202,0.081357,0.0530987,0.0137712,0.0173191,0.011828,0.0487088,0.0629037,0.0419032,0.0464447,0.0593857,0.040589,592.5,593,592,0.4132481,119058.2,106138.4,126330.2
"53","Washington","WA",0.136444,0.173317,0.1278863,2294,2203,2326,0.0144248,0.0187292,0.0134227,0.0103385,0.0157129,0.0092424,0.0308979,0.0415392,0.028636,0.0343985,0.0435778,0.0324554,648,582,678,0.3653234,125847.3,123227,126929.4
"54","West Virginia","WV",0.2822043,0.4302326,0.2818681,1813,NA,1813.5,0.0671011,0.1046512,0.0671062,0.0117239,NA,0.0117492,0.0476705,NA,0.0477119,0.0643429,NA,0.0642512,542,NA,542,0.1019787,75265.1,66982.34,76020.34
"55","Wisconsin","WI",0.1637854,0.4253973,0.1416886,1762,1452,1864,0.0515343,0.0906342,0.0482063,0.0087152,0.0222872,0.0072968,0.0360675,0.115917,0.0301277,0.0310538,0.0949054,0.0273868,565,483,589,0.2101824,94085.06,78196.43,97114.26
"56","Wyoming","WY",0.2029026,0.4818182,0.2011639,3059,2202,3079,0.0999222,0.2,0.099267,0.0203712,NA,0.0204638,0.037746,NA,0.0370069,0.0380055,NA,0.0378552,720,NA,728,0.1860415,90018.06,86288.9,90725.34
