"id","state","abbr","totcoll","totcoll_com_col","totcoll_white","totcollpos_p50","totcollpos_p50_com_col","totcollpos_p50_white","medcoll","medcoll_com_col","medcoll_white","stdcollofstdtot","stdcollofstdtot_com_col","stdcollofstdtot_white","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","carddelrate","carddelrate_com_col","carddelrate_white","carddelpos_p50","carddelpos_p50_com_col","carddelpos_p50_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"USA","USA",NA,0.2200957,0.2860147,0.1863485,2123,2181,2080,0.0503504,0.0600434,0.0453808,0.0146102,0.0188631,0.0124523,0.0497519,0.0712354,0.0395199,0.0512944,0.0711674,0.0422571,620,596,641,0.4234616,105554.9,92649.18,112822.2
"01","Alabama","AL",0.2956849,0.4267256,0.2567057,1891,1865,1908,0.0657824,0.0883909,0.059059,0.0160826,0.0197647,0.0146972,0.0781108,0.1262663,0.0641698,0.0677972,0.1104451,0.0575374,509,474,551.5,0.3594812,82956.09,64602.09,92351.28
"02","Alaska","AK",0.1729249,0.2393822,0.1545783,2256.5,2048,2410.5,0.0355237,0.0438338,0.0331239,0.0163234,0.0333333,0.0121477,0.0337488,0.0572843,0.0278703,0.0418056,0.0640119,0.0367988,627.5,473,713,0.4259627,109523.7,94616.65,117581.2
"04","Arizona","AZ",0.2261259,0.3189432,0.1732987,2426,2401,2464,0.0537144,0.0727197,0.0428679,0.0206173,0.0243293,0.0183559,0.0518551,0.0760753,0.0367871,0.0528295,0.0815238,0.0397015,650,582,747,0.4816571,101315.6,86738.65,110487.9
"05","Arkansas","AR",0.2935492,0.4274657,0.2727149,1990,1977,1991,0.0705205,0.0960741,0.0665185,0.0137244,0.0159102,0.0133475,0.0658134,0.1219239,0.0582147,0.0727369,0.1136288,0.0676943,549,480.5,561,0.3252899,76853.21,62091.74,82820.69
"06","California","CA",0.1765333,0.1973782,0.1255184,2276,2272,2294,0.0284387,0.0306451,0.022983,0.015,0.0164791,0.0111995,0.0398986,0.0452312,0.0259979,0.0442697,0.0510043,0.0296522,732,714,841.5,0.6628069,131504.1,118210.8,149054.5
"08","Colorado","CO",0.1492541,0.2405083,0.1286714,2036.5,1808,2153,4.02e-05,9.37e-05,2.82e-05,0.0123478,0.0143369,0.0119184,0.0346975,0.055667,0.0296693,0.039218,0.0676643,0.033879,682,574,719,0.3504592,119039,99244.93,126799.3
"09","Connecticut","CT",0.1862307,0.3059165,0.1397836,1823,1738,1898,0.0345367,0.0517306,0.0278694,0.0150642,0.0230399,0.0118653,0.0342091,0.0629021,0.0244454,0.0478768,0.088213,0.0352106,622,519,716,0.3803679,128159.7,101500.4,140844.9
"10","Delaware","DE",0.2443263,0.3685264,0.2048828,2370,2439,2325,0.0738873,0.1189642,0.0595262,0.0160573,0.0201342,0.0144061,0.0589509,0.0951114,0.047468,0.0593551,0.0990279,0.048259,606,517,661,0.4114794,105437.9,90064.09,113869.8
"11","District of Columbia","DC",0.2048033,0.2774475,0.0818437,2000,2043,1752,0.0173506,0.0224246,0.0086823,0.0141011,0.0175671,0.005668,0.09359,0.1141215,0.0326264,0.0592045,0.0860368,0.0202422,544,533,689,0.6327122,148872.3,108139.5,206169.9
"12","Florida","FL",0.2430288,0.2868592,0.2094175,2576,2682,2475,0.0666611,0.0753152,0.0600205,0.0184911,0.0217465,0.0156405,0.0494773,0.0615051,0.0403578,0.0587355,0.0754675,0.0469727,664,637,695,0.491594,99348.77,85565.51,109402.3
"13","Georgia","GA",0.2961682,0.3571698,0.2475565,2192,2274,2109,0.0786132,0.0831636,0.07498,0.0164855,0.0199195,0.0128583,0.071444,0.092727,0.0553625,0.075109,0.0999728,0.0573292,562,528,601,0.503737,99862.94,84901.7,112730.4
"15","Hawaii","HI",0.1363418,0.1365813,0.1205674,2516,2531,1933,0.0120187,0.0119939,0.012766,0.009692,0.0093784,0.0363636,0.0356754,0.0356142,0.0410256,0.0342535,0.0343181,0.027833,707,698,NA,0.7931275,120969.5,118288.3,128555.6
