fips,STATE,abbr,pct_debt_collections,pct_debt_collections_wh,pct_debt_collections_nw,median_debt_in_collections,median_debt_in_collections_wh,median_debt_in_collections_nw,pct_w_medical_debt_in_collections,pct_w_medical_debt_in_collections_wh,pct_w_medical_debt_in_collections_nw,pct_student_holders_in_default,pct_student_holders_in_default_wh,pct_student_holders_in_default_nw,auto_retail_loan_delinquency_rate,auto_retail_loan_delinquency_rate_wh,auto_retail_loan_delinquency_rate_nw,credit_card_debt_delinquency_rate,credit_card_debt_delinquency_rate_wh,credit_card_debt_delinquency_rate_nw,median_credit_card_delinquent_debt,median_credit_card_delinquent_debt_wh,median_credit_card_delinquent_debt_nw,pct_poc,avg_household_income,avg_household_income_wh,avg_household_income_nw,,,,,,
27,Minnesota,MN,0.16,0.14,0.37,1479,1506,1408,0.03,0.03,0.06,0.09,0.08,0.21,0.02,0.01,0.05,0.03,0.03,0.08,681,683.5,658,0.2,90915.19,94487.66,69752.23,,,,,,
28,Mississippi,MS,0.39,0.33,0.51,1589,1484,1670,0.19,0.17,0.2,0.19,0.14,0.26,0.07,0.05,0.09,0.07,0.06,0.11,511.5,554.5,457.5,0.43,60017.32,71914.53,42409.88,,,,,,
29,Missouri,MO,0.33,0.29,0.62,1827,1780,2055.5,0.19,0.17,0.34,0.14,0.12,0.25,0.04,0.03,0.09,0.04,0.04,0.09,568,602,443,0.21,72959.27,76413.7,57083.51,,,,,,
30,Montana,MT,0.24,0.22,0.6,1647,1647,1626,0.15,0.14,0.35,0.13,0.12,0.27,0.02,0.02,0.09,0.03,0.03,0.1,704,816,n<50,0.14,70994.05,72929.98,51376.54,,,,,,
31,Nebraska,NE,0.2,0.18,0.41,1665,1710,1747.5,0.08,0.07,0.13,0.09,0.09,0.2,0.02,0.02,0.06,0.03,0.03,0.07,597,602,n<50,0.21,77234.71,81070.46,56915.66,,,,,,
32,Nevada,NV,0.37,0.28,0.49,1916,1959,1830.5,0.21,0.17,0.26,0.18,0.13,0.24,0.04,0.03,0.07,0.05,0.04,0.08,742,830,630,0.51,78423.93,87839.85,65231.74,,,,,,
33,New Hampshire,NH,0.2,0.2,n<50,1541,1541,n<50,0.08,0.08,n<50,0.09,0.09,n<50,0.02,0.02,n<50,0.03,0.03,n<50,520,518.5,n<50,0.1,94780.23,95559.72,84693.61,,,,,,
34,New Jersey,NJ,0.26,0.19,0.41,1260,1348.5,1172,0.15,0.11,0.21,0.1,0.06,0.16,0.03,0.02,0.05,0.04,0.03,0.06,779,989,619.5,0.45,110119.84,123581.37,89229.1,,,,,,
35,New Mexico,NM,0.38,0.25,0.45,1617,1609,1590,0.23,0.15,0.26,0.18,0.15,0.2,0.05,0.03,0.07,0.04,0.03,0.05,654,620,640.5,0.63,64603.75,76401.99,54540.07,,,,,,
36,New York,NY,0.23,0.19,0.31,1577,1685,1505,0.08,0.08,0.07,0.11,0.08,0.14,0.03,0.02,0.05,0.04,0.03,0.07,708.5,780,627,0.45,97115.69,110743.83,75413.98,,,,,,
37,North Carolina,NC,0.37,0.32,0.5,1578,1550,1590,0.24,0.22,0.31,0.14,0.11,0.18,0.04,0.03,0.07,0.05,0.04,0.08,628,692,503,0.37,74106.29,82448.93,56370.06,,,,,,
38,North Dakota,ND,0.19,0.18,0.45,1747,1780,1424,0.09,0.09,0.18,0.09,0.09,0.2,0.01,0.01,0.05,0.03,0.03,0.05,649,664,n<50,0.16,80662.79,83814.7,58194.3,,,,,,
39,Ohio,OH,0.32,0.29,0.58,1398,1367,1523,0.19,0.18,0.26,0.15,0.13,0.27,0.03,0.03,0.07,0.04,0.04,0.11,594,623,448.5,0.21,73337.19,78155.4,52541.72,,,,,,
40,Oklahoma,OK,0.39,0.36,0.61,1802,1802,1512,0.26,0.24,0.39,0.18,0.16,0.34,0.05,0.04,0.1,0.05,0.04,0.08,643,644,775.5,0.34,68019.79,72380.34,56569.93,,,,,,
41,Oregon,OR,0.22,0.21,0.5,1534,1554.5,n<50,0.1,0.1,0.22,0.13,0.12,0.33,0.02,0.02,0,0.03,0.03,0,658,699,n<50,0.24,80143.92,81696.87,73040.42,,,,,,
42,Pennsylvania,PA,0.28,0.24,0.57,1651,1648.5,1638,0.13,0.12,0.17,0.11,0.09,0.22,0.03,0.02,0.07,0.04,0.04,0.1,678,719,476,0.24,81006.03,85297.86,62749.01,,,,,,
