"id","state","abbr","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","delinquency_by_credit","delinquency_by_credit_near","delinquency_by_credit_pr","autoopen","autoopen_com_col","autoopen_white","autoretopen","autoretopen_com_col","autoretopen_white","poprural","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"USA","USA",NA,".039874",".0634769",".0300043",".210164",".0113717",".0006232",".3016726",".2692672",".318262",".3552156",".326786",".3706694",".1926903",".4004701","92324","77794","99572"
"01","Alabama","AL",".0731634",".1265883",".0587671",".2841896",".0164734",".000925",".2918371",".2628932",".2995936",".3827976",".3606565",".3878931",".4096318",".3487998","71478","53281","80290"
"02","Alaska","AK",".0199163",".0295082",".0162037",".1501788",".0059041",".0006336",".2888922",".1973034",".2912083",".3456085",".2719101",".3465701",".3398021",".4016581","98504","81446","106530"
"04","Arizona","AZ",".0399437",".0696261",".0257243",".2025517",".0084861",".0004357",".311443",".3147639",".3100608",".3587896",".3680016",".3543599",".1019018",".4601778","84438","70244","92363"
"05","Arkansas","AR",".0529864",".1183585",".0447167",".2287147",".0145341",".0007802",".3313252",".2788712",".3385288",".3893617",".3257598",".3981168",".4383968",".2802942","68219","53683","72910"
"06","California","CA",".0292469",".0364709",".0169502",".1787755",".0102626",".0005078",".2692067",".2711523",".2625299",".3118869",".3179949",".298866",".0504738",".6366674","113563","98231","131061"
"08","Colorado","CO",".0257247",".0404357",".0208608",".1751999",".0105318",".0002738",".3059444",".2903738",".306144",".3546241",".3400079",".3533002",".1384784",".3248294","103518","80549","111482"
"09","Connecticut","CT",".0245311",".0575579",".015443",".1576087",".0111895",".0007235",".3039977",".2373054",".3247959",".3389731",".2738454",".3583662",".1200737",".3437653","114630","82830","127242"
"10","Delaware","DE",".0435732",".074985",".0309649",".2202873",".0095283",".0012541",".3268407",".299913",".3337121",".3781551",".3571118",".3822817",".1670334",".3869141","92445","74765","101394"
"11","District of Columbia","DC",".0800757",".112069",".0268631",".3110339",".022673",".0010834",".1794896",".2285009",".1282693",".2226243",".2795157",".1592933","0",".6271295","135369","87618","199025"
"12","Florida","FL",".035794",".046556",".0277621",".1759373",".0109077",".0007076",".3155217",".3020199",".3198958",".360652",".3458335",".3658715",".0883697",".4702209","83883","70159","92735"
"13","Georgia","GA",".0587557",".0846348",".0437482",".2195687",".0146938",".0006973",".2926894",".2751295",".3059249",".3618573",".3454185",".3746784",".2493382",".4817805","86468","69106","99937"
"15","Hawaii","HI",".0283127",".0292412",".0384615",".2053167",".0095541",".0006227",".2429724",".2446028",".2308943",".3143734",".3180266",".2943089",".0807263",".7845709","106247","103385","113625"
"16","Idaho","ID",".026903",".0576923",".0260172",".1928251",".0068946",".0002584",".3189019",".3394496",".3207361",".3803008",".4770642",".3818235",".2942187",".184122","78975","65767","81127"
"17","Illinois","IL",".0491095",".0840021",".0411191",".2573709",".0130455",".0006054",".2819438",".2481982",".3025234",".331212",".3067677",".3504627",".1151213",".3930643","95725","76467","105019"
"18","Indiana","IN",".0399041",".0960915",".0337709",".2059677",".0083241",".0004962",".3170772",".2797692",".3232659",".3741873",".3322746",".3812975",".2755639",".2168603","78064","61051","81773"
