"id","state","abbr","totcoll","totcoll_com_col","totcoll_white","totcollpos_p50","totcollpos_p50_com_col","totcollpos_p50_white","medcoll","medcoll_com_col","medcoll_white","stdcollofstdtot","stdcollofstdtot_com_col","stdcollofstdtot_white","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","carddelrate","carddelrate_com_col","carddelrate_white","carddelpos_p50","carddelpos_p50_com_col","carddelpos_p50_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"16","Idaho","ID",".1969396",".412844",".1924636","1965","n/a*","1993",".1114999",".2293578",".1084456",".0641133","n/a*",".0633292",".0268981",".0576923",".0260135",".0241927","n/a*",".0238299","389","n/a*","388",".184122","78975","65767","81127"
"17","Illinois","IL",".2566317",".4165727",".2079243","1485","1518","1494",".1358075",".1988626",".1149606",".0688788",".1140291",".0547069",".0490987",".0839648",".0411134",".0320898",".0676215",".0244238","397","326","434",".3930643","95725","76467","105019"
"18","Indiana","IN",".2763083",".4682051",".2530857","1721","1828","1700",".1599449",".2529332",".1491489",".0887588",".1573759",".0791367",".039899",".0960366",".033768",".0356013",".0787666",".031537","395","306","415",".2168603","78064","61051","81773"
"19","Iowa","IA",".2009249",".4426752",".1935794","1500","1310","1527",".0887486",".1464968",".0851374",".0673517",".1212121",".0652093",".0233525",".0568182",".0223555",".0264831",".078125",".0257883","425","n/a*","429",".1490835","80267","60664","82801"
"20","Kansas","KS",".2575279",".4436477",".2268016","1652","1295","1667",".1676568",".2901269",".1489464",".081604",".1499176",".072004",".0293275",".0515848",".0254662",".0294425",".0563862",".0262725","445","383","466",".2460528","82270","63114","86892"
"21","Kentucky","KY",".3231586",".647589",".3105429","1282","1149","1283",".1711074",".3699865",".1648729",".102649",".1933962",".0981921",".0441521",".1149425",".0425221",".0422186",".1052632",".040194","435","208","443",".1577944","72215","61002","73969"
"22","Louisiana","LA",".3686514",".4985564",".3117605","1729","1741","1708",".1806395",".2211275",".1637354",".0977187",".1218677",".0826543",".0673576",".1015419",".0517854",".0465017",".0686282",".0385915","355","259","398",".4175453","72658","53667","84256"
"23","Maine","ME",".2435383","n/a*",".2432025","1598","n/a*","1599",".1545627","n/a*",".1545556",".0660705","n/a*",".064998",".017435","n/a*",".0173791",".0250186","n/a*",".0249652","385","n/a*","391",".0717841","78303","70854","78682"
"24","Maryland","MD",".2445309",".3303806",".191375","1562","1670","1390",".1037421",".1316582",".0902717",".07563",".0960217",".0553039",".0421903",".0641727",".0273588",".0357826",".0542402",".0262047","410","390","451",".5017963","114089","97091","127759"
"25","Massachusetts","MA",".1671984",".3097971",".1397582","1580","1550","1609",".0403454",".0626241",".0362462",".0502665",".0915541",".0424661",".0210739",".0474964",".0164118",".028445",".0594866",".0232519","417","392","437",".2968931","117482","91722","125734"
"26","Michigan","MI",".2557694",".5263393",".2187653","1374","1699","1279",".1262691",".1850441",".1171027",".0870862",".1802999",".0713788",".0394129",".1492444",".0276221",".0338253",".1079142",".0269951","374","287","402",".2533165","80681","63875","85412"
"27","Minnesota","MN",".1296098",".2934394",".1191616","1623","1393","1644",".0241599",".0396233",".023106",".0498429",".1212871",".0455186",".0187972",".0421687",".0173504",".0217605",".0593066",".0198719","453","337","470",".2105978","96995","77538","100444"
"28","Mississippi","MS",".3501322",".4725197",".2922932","1598","1643","1560",".160184",".1974978",".1425498",".1075269",".1487734",".0810929",".0797127",".1147563",".0617265",".0619141",".0936437",".0496581","363","319","406",".4370161","65081","48053","77009"
"29","Missouri","MO",".2897928",".5632398",".2580347","1775","1967","1725",".1636721",".3099481",".14628",".084156",".159822",".0748548",".0463256",".1200648",".0380793",".0355568",".0922082",".0305101","417","336","440",".2090498","77885","61275","81602"
