"id","state","abbr","totcoll","totcoll_com_col","totcoll_white","totcollpos_p50","totcollpos_p50_com_col","totcollpos_p50_white","medcoll","medcoll_com_col","medcoll_white","stdcollofstdtot","stdcollofstdtot_com_col","stdcollofstdtot_white","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","carddelrate","carddelrate_com_col","carddelrate_white","carddelpos_p50","carddelpos_p50_com_col","carddelpos_p50_white"
"USA","USA",NA,".1989773",".2476629",".1728927","1130","1265","1025",".0970406",".1031055",".0923502",".0267368",".0426623",".0204246",".0617195",".0905829",".0473104",".044507",".0639049",".03558","275","272","276"
"01","Alabama","AL",".2723252",".4136727",".2277624","1234","1459","1179",".1403188",".2170659",".119045",".0284171",".0449927",".0213885",".0997999",".1764706",".0774545",".0641026",".1233933",".0505356","253","198","281"
"02","Alaska","AK",".1218097",".1461988",".0976431","1383","n/a*","960",".0382831",".0467836",".037037",".0232558","n/a*",".011236",".0339559","n/a*",".0261194",".0291363",".0428571",".026465","n/a*","n/a*","n/a*"
"04","Arizona","AZ",".2089737",".2641227",".1613808","1311","1440","1219",".0885013",".0955855",".0768069",".0383752",".0401869",".0306498",".0605064",".0810324",".0454207",".0451326",".0642458",".0328792","345","274","345"
"05","Arkansas","AR",".2918752",".4310345",".2708988","1025","1236","947",".1489159",".1795977",".1437775",".0380304",".0373832",".0349762",".0821168",".1229947",".076412",".0732109",".0974576",".0687104","239","n/a*","248"
"06","California","CA",".137475",".1562539",".1028697","1094","1167","867",".0490869",".0500531",".0497119",".0319154",".0407271",".0188172",".0493845",".0571644",".0318231",".0325279",".0394634",".0210517","299","288","386"
"08","Colorado","CO",".1796238",".2625272",".1538392","1043","996","984",".0945625",".1399782",".0827325",".0250384",".0401003",".0224978",".0428351",".0546737",".0428571",".0356589",".058104",".0290689","252","241","256"
"09","Connecticut","CT",".1393467",".2442227",".094269","908","939","794",".0562381",".0756303",".0456382",".0184078",".0327586",".0114342",".0348182",".0597015",".0262948",".0403856",".086785",".0245823","327","323","305"
"10","Delaware","DE",".2185995",".3535109",".1651148","1057","1176","1012",".1159689",".1937046",".0906269",".0337458",".0757576",".0275229",".0662069",".0485437",".0525114",".047043",".0676328",".0316249","336","n/a*","n/a*"
"11","District of Columbia","DC",".160826",".2442953",".0720339","1383","1545","n/a*",".0469337",".0630872",".0275424",".047619",".0766667",".006993",".1421569",".1779661","n/a*",".0635593",".1261261",".0141243","248","n/a*","n/a*"
"12","Florida","FL",".2271132",".2462679",".2091625","1336","1451","1178",".1150898",".1113856",".1140666",".0346417",".0399513",".0303571",".0609675",".0776866",".0458026",".0530497",".0650035",".0411116","274","274","302"
"13","Georgia","GA",".2593917",".3345944",".2141076","1298","1420","1160",".1356823",".1552123",".124725",".0343161",".0520249",".0224939",".0903914",".1312086",".0636261",".0669865",".1112096",".0443576","278","263","331"
