"id","state","abbr","totcoll","totcoll_com_col","totcoll_white","totcollpos_p50","totcollpos_p50_com_col","totcollpos_p50_white","medcoll","medcoll_com_col","medcoll_white","stdcollofstdtot","stdcollofstdtot_com_col","stdcollofstdtot_white","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","carddelrate","carddelrate_com_col","carddelrate_white","carddelpos_p50","carddelpos_p50_com_col","carddelpos_p50_white"
"15","Hawaii","HI",".1233747",".1197732",".1818182","1109","1215","n/a*",".0387058",".0382707",".0227273",".0259434",".0201072","n/a*",".032666",".0307125","n/a*",".023172",".0229192","n/a*","n/a*","n/a*","n/a*"
"16","Idaho","ID",".1729749","n/a*",".1700745","1197","n/a*","1205",".0996526","n/a*",".0970762",".0165349","n/a*",".0164425",".0478395","n/a*",".0470337",".0326205","n/a*",".0323552","282","n/a*","282"
"17","Illinois","IL",".1969055",".2945281",".1661711","1053","1199","954",".1093888",".146652",".0977844",".0260992",".054783",".0178006",".0728693",".1008403",".0633035",".0415969",".0849034",".029136","240","228","252"
"18","Indiana","IN",".2359701",".3621118",".2182719","1062","1287","1018",".1340959",".1875776",".12616",".0350584",".0765661",".0304132",".0549236",".1345291",".0442316",".045105",".096463",".0394031","236","190","237"
"19","Iowa","IA",".176989","n/a*",".1703248","946","n/a*","916",".0680086","n/a*",".0665998",".0223383","n/a*",".0208585",".0392459","n/a*",".0400485",".0335821","n/a*",".0319647","271","n/a*","275"
"20","Kansas","KS",".2324529",".3815331",".2037323","1027","1017","901",".1522377",".2491289",".1384948",".0326366",".0818182",".0268771",".0494881",".0722892",".0430649",".037484",".0683761",".0323194","318","n/a*","333"
"21","Kentucky","KY",".265914",".51",".2537313","961","1432","932",".1307859",".265",".1264324",".0351251","0",".0337405",".0704698","n/a*",".0683732",".0587206","n/a*",".0541809","283","n/a*","270"
"22","Louisiana","LA",".2763223",".3869221",".234012","1157","1232","1073",".1182238",".1291129",".1149986",".0328266",".0439224",".0258964",".0920941",".1633752",".0680987",".066557",".1086262",".0541363","249","239","226"
"23","Maine","ME",".1427661","n/a*",".1431316","747","n/a*","754",".0752071","n/a*",".0755684",".014881","n/a*",".0149365",".0248329","n/a*",".0239923",".0297226","n/a*",".0298805","n/a*","n/a*","n/a*"
"24","Maryland","MD",".1652201",".2239497",".1254511","1000","1111","858",".0694988",".0830301",".0633752",".0290488",".0455005",".018936",".0603973",".0888383",".0412007",".0448138",".0699192",".0301363","295","323","217"
"25","Massachusetts","MA",".0928148",".1742215",".0739689","967","1072","869",".0238475",".030745",".022432",".0114747",".0283533",".0098323",".0353376",".0670391",".0222465",".0322252",".0650805",".0246442","317","381","329"
"26","Michigan","MI",".1950249",".374208",".1668882","933","1311","843",".093255",".1211331",".0874547",".0332233",".089172",".0247289",".0666395",".2331378",".0445902",".0469607",".1470302",".0367734","220","225","209"
"27","Minnesota","MN",".0967742",".1971831",".0901677","964","1383","892",".0187151",".0312989",".0179878",".0155164",".0552486",".0145339",".032375",".0787879",".0291206",".028684",".0709677",".0257958","240","n/a*","233"
"28","Mississippi","MS",".2873211",".4122596",".2253521","1177","1309","1072",".1489008",".1935096",".1241997",".0323575",".0379965",".0235199",".101569",".1367188",".0798669",".0771168",".1297297",".057243","194","204","190"
"29","Missouri","MO",".2536066",".4669739",".2245846","1175","1650","1089",".1399913",".2265745",".1275669",".0285992",".0767045",".0246996",".0854981",".1893491",".0715129",".0518762",".1425439",".042659","241","246","216"
"30","Montana","MT",".1816444",".4054054",".1763519","775","n/a*","775",".0929254",".2027027",".090799",".0266344","n/a*",".0239596",".0366552","n/a*",".0337756",".0287267","n/a*",".0280899","n/a*","n/a*","n/a*"
"31","Nebraska","NE",".1324133",".2246154",".1163726","1157","1374","1077",".04047",".0676923",".0352915",".012024",".0185185",".0122154",".0333745",".0366972",".0321616",".0381481",".0671642",".0340166","290","n/a*","292"
"32","Nevada","NV",".2372125",".2860094",".1952105","1292","1198","1391",".1151161",".1183589",".1117562",".0381005",".0619902",".0165837",".0606319",".0795848",".0488467",".0488766",".0636663",".0383707","340","285","373"
"33","New Hampshire","NH",".1153082","n/a**",".1145952","1068","n/a**","1056",".0394774","n/a**",".0390536",".0151611","n/a**",".0151899",".0343096","n/a**",".0327731",".0342169","n/a**",".0338983","255","n/a**","268"
"34","New Jersey","NJ",".1331672",".2139429",".0904472","866","871","818",".0694018",".1049507",".051176",".0188536",".0326748",".0127822",".0471052",".0842886",".0244576",".0344974",".0647514",".021098","298","292","280"
"35","New Mexico","NM",".2550047",".2772618",".1475054","994","999","791",".1304023",".1379429",".0780911",".0494845",".0581162","0",".0726872",".0844354",".0616438",".0424646",".0519698",".0272374","320","287","n/a*"
"36","New York","NY",".1194482",".1482797",".103764","1026","1138","914",".0359831",".0277115",".0412595",".0228382",".033557",".0182797",".0552181",".107028",".0345885",".0442906",".0731731",".028919","280","286","272"
"37","North Carolina","NC",".2581128",".3530374",".2213425","1066","1123","1026",".1482617",".1910411",".1349398",".0252427",".0402556",".0162809",".0687732",".102529",".054135",".057691",".0961706",".0477139","293","240","327"
"38","North Dakota","ND",".1482321",".2745098",".1459308","1307","n/a*","1331",".057117",".1568628",".0551918",".020595","n/a*",".0208092",".03125","n/a*",".0308087",".0383244","n/a*",".0387387","n/a*","n/a*","n/a*"
"39","Ohio","OH",".2379647",".4164329",".2101154","995","1234","940",".1195429",".1527054",".1151993",".0235294",".0709593",".0178805",".0651274",".1574344",".0528292",".0512413",".1205674",".0429557","270","235","269"
"40","Oklahoma","OK",".2949673",".4241733",".2657316","1266","1517","1219",".178234",".2451539",".1638142",".0420139",".1045752",".0354186",".0620333",".1040724",".0591054",".0493716",".0594796",".0452323","227","n/a*","212"
"41","Oregon","OR",".1278173","n/a*",".1268719","885","n/a*","866",".035861","n/a*",".0352222",".0157798","n/a*",".0145673",".0376614","n/a*",".0371972",".0340528","n/a*",".0347052","296","n/a*","305"
"42","Pennsylvania","PA",".1621036",".3056062",".1362438","976","1135","925",".0648053",".0750978",".0625905",".02467",".0572687",".0197745",".0432805",".1082982",".0329236",".0479121",".1200429",".0371904","246","210","270"
"44","Rhode Island","RI",".1419972",".222395",".1104623","1177","1099","1261",".0332861",".0419907",".0301703",".0157155",".0185185",".0146138",".0569948",".141791",".0327103",".0480296",".0997151",".0342809","319","n/a*","n/a*"
"45","South Carolina","SC",".3033795",".4369055",".2617435","1366","1627","1342",".1756929",".1997464",".1633166",".0301961",".0614334",".0256643",".0928375",".1644144",".0764306",".0622956",".1278688",".0493577","259","160","295"
"46","South Dakota","SD",".1158911",".2266667",".1109583","1317","n/a*","1430",".0223881",".08",".0201742",".0146915","n/a*",".0151362",".0408685","n/a*",".0383091",".0309859","n/a*",".030622","n/a*","n/a*","n/a*"
"47","Tennessee","TN",".2626933",".4083826",".2387359","1177","1359","1096",".1377133",".1595916",".1363798",".0322581",".066561",".0253132",".0772517",".1680328",".0645611",".056258",".1333333",".0437225","242","324","231"
"48","Texas","TX",".2745753",".318333",".2320311","1309","1389","1214",".1456919",".1545183",".1430746",".0269742",".0339697",".0210617",".0855835",".107508",".0579539",".0474572",".0587284",".0364705","295","279","340"
"49","Utah","UT",".1483952",".2888889",".1366948","1362","1584","1324",".0897874",".1518518",".0845475",".0287194","n/a*",".0282575",".0280094",".03125",".0279357",".03",".0410959",".0290295","276","n/a*","255"
"50","Vermont","VT",".1120332","n/a**",".1104895","900","n/a**","900",".0401107","n/a**",".0391608",".0198676","n/a**",".0201342",".0256917","n/a**",".0259481",".0259209","n/a**",".0260989","n/a*","n/a**","n/a*"
"51","Virginia","VA",".1876527",".2696105",".1636217","1137","1299","1028",".1105028",".1412507",".1036378",".0199637",".0356189",".012849",".0550024",".0796703",".0429253",".0426208",".0614987",".0351301","248","195","271"
"53","Washington","WA",".1249151",".1299376",".1170502","978","1118","904",".0440416",".039501",".0406588",".0193578",".020202",".018193",".0336576",".0454545",".0290557",".0316288",".0514403",".0307124","278","n/a*","307"
"54","West Virginia","WV",".3084393","n/a**",".3069724","812","n/a**","803",".2023121","n/a**",".2016846",".0338196","n/a**",".0340681",".0447871","n/a**",".0446097",".0548502","n/a**",".0547035","280","n/a**","278"
"55","Wisconsin","WI",".1853318",".404209",".1611851","1054","1217","1013",".1074032",".1944848",".0980295",".0175713",".0775401",".0131079",".0490543",".1412429",".0412633",".0318844",".098646",".0267799","272","205","287"
"56","Wyoming","WY",".2476636","n/a*",".2435986","1504","n/a*","1592",".1662216","n/a*",".1647059",".0357143","n/a*",".0336391",".0520646","n/a*",".0538033",".0351682","n/a*",".0359375","n/a*","n/a*","n/a*"
